a back answer,逆答え
a back issue,バックナンバー
a back number,バックナンバー
a bad actor,下手な役者
a bad egg,悪い奴
a bad hat,悪い帽子
a bad job,悪い仕事
a bad life,悪い人生
a bad lot,悪い連中
a bad quarter of an hour,最悪な15分間
a bad shot,下手なショット
a bad word,悪い言葉
a bag of bones,骨の袋
a bag of wind,風袋
a baker’s dozen,パン屋の13個
a ball of fortune,幸運の玉
a barber’s cat,理髪師の猫
a bare possibility,わずかな可能性
a bargain’s a bargain.,お買い得品はお買い得品だ。
a base area,基地エリア
a basket ring,バスケットリング
a beam in sb.‘s own eye,自分の目に光が当たる
a beaten path,踏み固められた道
a beaten track,踏み固められた道
a bed of down,羽毛のベッド
a bed of flowers,花壇
a bed of honor,名誉ある寝床
a besetting sin,根深い罪
a best man,ベストマン
a big deal,大変なことだ
a big pot,大きな鍋
a big shot,大物
a big stick policy,強硬政策
a bill of oblivion,忘却の法案
a bird in the bush,茂みの中の鳥
a bird of jove,ジュピターの鳥
a bird of juno,ジュノーの鳥
a bird of minerva,ミネルヴァの鳥
a bird of paradise,極楽鳥
a bird of passage,渡り鳥
a bird of peace,平和の鳥
a bird of prey,猛禽類
a bird of wonder,驚異の鳥
a bit and a sup,少しとスープ
a bit of,少し
a bit thick,少し厚みがある
a black sheep,厄介者
a blank cheque,白紙の小切手
a blank sheet,白紙
a blessing in disguise,災い転じて福となる
a blind alley,行き止まりの路地
a blind letter,匿名の手紙
a blood bank,血液バンク
a blot on one’s escutcheon,紋章の汚点
a blue dahlia,青いダリア
a blue moon,ブルームーン
a boiled shirt,茹でたシャツ
a bolt from the blue,寝耳に水
a bomb,爆弾
a bone of contention,論争の種
a box and needle,箱と針
a boy in buttons,ボタンをつけた少年
a brand from the burning,燃えるブランド
a breath of life,生命の息吹
a bridge of gold,金の橋
a broken reed,折れた葦
a bull in a china shop,陶器店にいる雄牛
a bunch of fives,5の集まり
a bundle of nerves,神経の束
a burning shame,非常に残念なこと
a burnt child dreads the fire.,火傷を負った子供は火を恐れる。
a call of nature,自然の呼び声
a call to arms,武器を取るよう呼びかける
a case of crabs,カニの症例
a castle in the air,空想の城
a cat has nine lives.,猫には9つの命がある。
a cat in the pan,鍋の中の猫
a cat may look at a king.,猫は王様を見つめるかもしれない。
a certain,ある
a certain degree,ある程度
a certain extent,ある程度
a change of heart,心変わり
a change of scene,場面転換
a chapter of accidents,事故の章
a child of fortune,幸運な子供
a child of nature,自然の子
a child of sb.‘s loins,誰かの血を引く子
a chip in porridge,お粥の中のチップ
a chip of the old block,古いブロックのチップ
a chose in possession,所有する選択
a circular letter,回覧状
a clean sheet,クリーンシート
a clear anchorage,明確な停泊地
a clergyman’s sore throat,聖職者の喉の痛み
a clinging vine,つる植物
a close battle,接戦
a close call,間一髪だった
a close shave,間一髪
a close thing,惜しい
a coat of arms,紋章
a cock of the loft,鳩小屋の雄鶏
a cold cook,冷たい料理
a command post,指揮所
a common soldier,一般兵士
a complimentary ticket,無料チケット
a conceited pup,うぬぼれの強い子犬
a conspiracy of silence,沈黙の共謀
a convenient memory,便利な記憶
a copper captain,銅の船長
a copy of,のコピー
a corporate body,法人
a counsel of perfection,完璧な助言
a couple of,数人の
a course of exchange,交換の過程
a covenant of salt,塩の契約
a cow in calf,妊娠中の牛
a crowd of,群衆
a crowning victory,最高の勝利
a cuckoo in the nest,巣の中のカッコウ
a cup of cold water,冷たい水1杯
a current account,当座預金口座
a curtain lecture,カーテンレクチャー
a dark horse,ダークホース
a daughter of momus,モムスの娘
a day in the country,田舎での一日
a day off,休日
a dead dog,死んだ犬
a dead duck,死んだアヒル
a dead frost,死霜
a dead heat,同着
a dead lift,デッドリフト
a dead season,閑散期
a dead secret,死の秘密
a dead shot,正確な射撃
a death march,死の行進
a debt of honour,名誉の負債
a decisive battle,決定的な戦い
a devil’s darning needle,悪魔の繕い針
a dirty night,汚れた夜
a disciple of momus,モムスの弟子
a dish of gossip,ゴシップのネタ
a distress sale,窮迫売却
a dog in the manger,飼い葉桶の中の犬
a dog’s age,犬の年齢
a dog’s life,犬の生活
a drawn battle,引き分けに終わった戦い
a drop in the bucket,焼け石に水
a drop quiz,ドロップクイズ
a drumming in the ears,耳の中でドラムが鳴る
a dry eye,ドライアイ
a dutch feast,オランダの宴
a duty call,任務の呼び出し
a face as long as a fiddle,バイオリンのように長い顔
a fair field and no favor,公平な競争条件と偏りのない競争
a fair shake,公平な扱い
a far cry,かけ離れている
a far fetch,あり得ない
a fat chance,可能性は低い
a fat lot,かなりの量
a fault on the right side,右側に不具合あり
a favourite son,お気に入りの息子
a feast for the gods,神々のための宴
a feather in one’s cap,勲章
a feeding storm,餌付けの嵐
a few,いくつか
a field army,野戦軍
a field of honour,名誉の地
a fierce battle,激しい戦い
a fine day for young ducks,若いカモにとって素晴らしい一日
a finger on the wall,壁に指を当てる
a finishing stroke,最後の一撃
a flash in the pan,一時の流行
a flea in one’s ear,耳の中のノミ
a fleeting show,束の間のショー
a flock of,群れ
a flourish of trumpets,トランペットの華やかな演奏
a fly in amber,琥珀の中のハエ
a fly in the ointment,玉にきず
a fly on the wheel,車輪にとまったハエ
a foe worthy of sb.‘s steel,誰かの剣にふさわしい敵
a fond,愛しい
a fool’s errand,無駄な努力
a fool’s paradise,愚者の楽園
a foregone conclusion,既定路線
a forlorn hope,絶望的な希望
a form of address,呼びかけの形式
a fortiori,ましてや
a free hand,フリーハンド
