you,आप
i,मैं
the,to
को,a
ए,‘s
'एस,it
यह,and
और,that
वह,‘t
'टी,of
का,is
है,in
में,what
क्या,we
हम,me
मुझे,this
यह,he
वह,for
के लिए,my
मेरा,on
पर,have
पास होना,your
आपका,do
करना,was
था,‘m
'एम,no
नहीं,not
नहीं,be
होना,are
हैं,don
अगुआ,‘re
'दोबारा,know
जानना,can
कर सकना,with
साथ,but
लेकिन,all
सभी,so
इसलिए,just
अभी,there
वहाँ,here
यहाँ,they
वे,like
पसंद,‘ll
‘ll,get
पाना,she
वह,go
जाना,if
अगर,right
सही,out
बाहर,about
के बारे में,up
ऊपर,at
पर,him
उसे,now
अब,oh
ओह,one
एक,come
आना,well
कुंआ,her
उसकी,how
कैसे,yeah
हाँ,‘ve
‘ve,will
इच्छा,got
प्राप्त,want
चाहना,think
सोचना,as
जैसा,see
देखना,did
किया,good
अच्छा,who
कौन,why
क्यों,from
से,let
होने देना,his
उसका,yes
हाँ,when
कब,going
जा रहा है,time
समय,an
एक,okay
ठीक है,back
पीछे,look
देखना,us
हम,would
चाहेंगे,them
उन्हें,where
कहाँ,were
थे,take
लेना,then
तब,had
था,or
या,been
गया,our
हमारा,gonna
होने वाला,tell
कहना,really
वास्तव में,man
आदमी,some
कुछ,say
कहना,hey
अरे,could
सकना,‘d
'डी,didn
नहीं आया,by
द्वारा,need
ज़रूरत,something
कुछ,has
है,too
बहुत,more
अधिक,way
रास्ता,down
नीचे,make
बनाना,very
बहुत,never
कभी नहीं,only
केवल,people
लोग,over
ऊपर,because
क्योंकि,little
थोड़ा,please
कृपया,love
प्यार,should
चाहिए,mean
अर्थ,said
कहा,sorry
क्षमा मांगना,give
देना,off
बंद,am
पूर्वाह्न,thank
धन्यवाद,any
कोई,two
दो,even
यहां तक की,much
अधिकता,doing
कर रहा है,sure
ज़रूर,thing
चीज़,these
इन,help
मदद,first
पहला,into
में,anything
कुछ भी,still
फिर भी,find
खोजो,life
ज़िंदगी,nothing
कुछ नहीं,sir
महोदय,day
दिन,god
ईश्वर,work
काम,their
उनका,uh
उह,again
दोबारा,maybe
शायद,must
अवश्य,before
पहले,other
अन्य,wait
इंतज़ार,stop
रुकना,call
पुकारना,after
बाद,won
जीत गया,talk
बात करना,away
दूर,than
बजाय,thought
सोचा,home
घर,night
रात,put
रखना,great
महान,those
वे,last
अंतिम,better
बेहतर,everything
सब कुछ,told
बताया,mr.
श्री।,new
नया,things
चीज़ें,always
हमेशा,keep
रखना,long
लंबा,years
साल,leave
छुट्टी,does
करता है,money
धन,around
आस-पास,doesn
नहीं करता है,name
नाम,place
जगह,ever
कभी,feel
अनुभव करना,guys
दोस्तो,father
पिता,guy
लड़का,made
बनाया,old
पुराना,isn
प्रतिसाद नहीं,which
कौन,big
बड़ा,lot
बहुत,done
हो गया,hello
नमस्ते,nice
अच्छा,believe
विश्वास,girl
लड़की,someone
कोई,fine
अच्छा,thanks
धन्यवाद,wanted
वांछित,kind
दयालु,coming
आ रहा,house
घर,every
प्रत्येक,ok
ठीक है,through
के माध्यम से,being
प्राणी,course
