you,ты
i,я
the,тот
to,к
a,а
‘s,«
it,это
and,и
that,что
‘t,т
of,из
is,является
in,в
what,что
we,мы
me,мне
this,этот
he,он
for,для
my,мой
on,на
have,иметь
your,твой
do,делать
was,был
‘m,м
no,нет
not,нет
be,быть
are,являются
don,дон
‘re,«ре»
know,знать
can,может
with,с
but,но
all,все
so,так
just,только
there,там
here,здесь
they,они
like,нравиться
‘ll,все
get,получать
she,она
go,идти
if,если
right,верно
out,вне
about,о
up,вверх
at,в
him,ему
now,сейчас
oh,ой
one,один
come,приходить
well,хорошо
her,ее
how,как
yeah,ага
‘ve,«ве»
will,воля
got,получил
want,хотеть
think,думать
as,как
see,видеть
did,делал
good,хороший
who,ВОЗ
why,почему
from,от
let,позволять
his,его
yes,да
when,когда
going,идущий
time,время
an,ан
okay,хорошо
back,назад
look,смотреть
us,нас
would,бы
them,их
where,где
were,были
take,брать
then,затем
had,имел
or,или
been,был
our,наш
gonna,собираюсь
tell,рассказывать
really,Действительно
man,мужчина
some,некоторый
say,сказать
hey,привет
could,мог
‘d,‘д
didn,не
by,к
need,нуждаться
something,что-нибудь
has,имеет
too,слишком
more,более
way,способ
down,вниз
make,делать
very,очень
never,никогда
only,только
people,люди
over,над
because,потому что
little,маленький
please,пожалуйста
love,любовь
should,должен
mean,иметь в виду
said,сказал
sorry,извини
give,давать
off,выключенный
am,являюсь
thank,благодарить
any,любой
two,два
even,даже
much,много
doing,делает
sure,конечно
thing,вещь
these,эти
help,помощь
first,первый
into,в
anything,что-либо
still,все еще
find,находить
life,жизнь
nothing,ничего
sir,сэр
day,день
god,бог
work,работа
their,их
uh,Эм-м-м
again,снова
maybe,может быть
must,должен
before,до
other,другой
wait,ждать
stop,останавливаться
call,вызов
after,после
won,выиграл
talk,разговаривать
away,прочь
than,чем
thought,мысль
home,дом
night,ночь
put,помещать
great,большой
those,те
last,последний
better,лучше
everything,все
told,сказал
mr.,Мистер.
new,новый
things,вещи
always,всегда
keep,держать
long,длинный
years,годы
leave,оставлять
does,делает
money,деньги
around,вокруг
doesn,не
name,имя
place,место
ever,всегда
feel,чувствовать
guys,ребята
father,отец
guy,парень
made,сделал
old,старый
isn,не
which,который
big,большой
lot,много
done,сделанный
hello,привет
nice,хороший
believe,полагать
girl,девочка
someone,кто-то
fine,отлично
thanks,Спасибо
wanted,в розыске
kind,добрый
coming,приходящий
house,дом
every,каждый
ok,хорошо
through,через
being,существование
course,курс
stay,оставаться
left,левый
dad,папа
enough,достаточно
happened,случилось
came,пришел
may,может
mother,мать
wrong,неправильный
world,мир
bad,плохой
might,мощь
three,три
today,сегодня
listen,слушать
another,другой
understand,понимать
hear,слышать
remember,помнить
ask,просить
own,собственный
same,такой же
show,показывать
else,еще
kill,убийство
talking,разговор
found,найденный
next,следующий
getting,получающий
care,уход
car,машина
looking,смотрящий
son,сын
try,пытаться
woman,женщина
went,шел
hi,привет
dead,мертвый
many,много
mind,разум
wasn,не
friend,друг
best,лучший
mom,мама
hell,ад
morning,утро
trying,пытающийся
boy,мальчик
together,вместе
yourself,сам
job,работа
saw,пила
family,семья
real,настоящий
without,без
baby,малыш
room,комната
wouldn,не
already,уже
move,двигаться
most,большинство
seen,видимый
live,жить
miss,скучать
actually,на самом деле
huh,хм
shit,дерьмо
both,оба
heard,слышал
once,один раз
ready,готовый
head,голова
called,называется
used,использовал
idea,идея
knew,знал
hold,держать
happy,счастливый
door,дверь
such,такой
fuck,ебать
brother,брат
also,также
pretty,симпатичный
bit,кусочек
took,взял
haven,убежище
yet,еще
men,мужчины
whole,весь
start,начинать
use,использовать
while,пока
since,с
wife,жена
days,дни
guess,предполагать
tomorrow,завтра
matter,иметь значение
meet,встретиться
bring,приносить
tonight,сегодня вечером
everyone,каждый
run,бегать
wanna,хочу
hard,жесткий
ah,ах
alone,один
myself,сам
school,школа
gone,ушел
um,ум
end,конец
saying,говоря
phone,телефон
play,играть
looks,выглядит
couldn,не мог
fucking,ебаный
problem,проблема
few,немного
friends,друзья
gotta,нужно
ago,назад
open,открыть
anyone,любой
killed,убит
hope,надеяться
face,лицо
until,до
lost,потерянный
police,полиция
excuse,извинение
turn,повернуть
business,бизнес
case,случай
wants,хочет
says,говорит
true,истинный
die,умереть
heart,сердце
soon,скоро
each,каждый
worry,волноваться
later,позже
year,год
watch,смотреть
music,музыка
hand,рука
having,имея
probably,вероятно
beautiful,красивый
doctor,врач
sit,сидеть
eat,есть
thinking,размышление
young,молодой
second,второй
working,работающий
water,вода
person,человек
part,часть
kids,дети
late,поздно
