you,du
i,jeg
the,de
to,til
a,-en
‘s,'s
it,det
and,og
that,at
‘t,ikke
of,af
is,er
in,i
what,hvad
we,vi
me,mig
this,denne
he,han
for,for
my,mine
on,på
have,have
your,dine
do,gør
was,var
‘m,mig
no,ingen
not,ikke
be,være
are,er
don,don
‘re,er
know,vide
can,kan
with,med
but,men
all,alle
so,så
just,lige
there,der
here,her
they,de
like,ligesom
‘ll,vil
get,få
she,hun
go,gå
if,hvis
right,højre
out,ud
about,om
up,op
at,på
him,ham
now,nu
oh,åh
one,en
come,komme
well,godt
her,hende
how,hvordan
yeah,ja
‘ve,har
will,vilje
got,fik
want,mangel
think,tænke
as,som
see,se
did,gjorde
good,god
who,WHO
why,hvorfor
from,fra
let,lade
his,hans
yes,ja
when,når
going,går
time,tid
an,en
okay,okay
back,tilbage
look,se
us,os
would,ville
them,dem
where,hvor
were,var
take,tage
then,så
had,havde
or,eller
been,været
our,vores
gonna,skal
tell,fortælle
really,virkelig
man,mand
some,nogle
say,sige
hey,hej
could,kunne
‘d,'d
didn,gjorde ikke
by,ved
need,behov
something,noget
has,har
too,også
more,mere
way,vej
down,ned
make,lave
very,meget
never,aldrig
only,kun
people,mennesker
over,over
because,fordi
little,lidt
please,behage
love,kærlighed
should,skulle
mean,betyde
said,sagde
sorry,undskyld
give,give
off,slukket
am,er
thank,takke
any,enhver
two,to
even,endog
much,meget
doing,gør
sure,sikker
thing,ting
these,disse
help,hjælp
first,først
into,til
anything,noget
still,stadig
find,finde
life,liv
nothing,ingenting
sir,hr
day,dag
god,Gud
work,arbejde
their,deres
uh,øh
again,igen
maybe,måske
must,skal
before,før
other,andre
wait,vente
stop,stop
call,opkald
after,efter
won,vundet
talk,tale
away,væk
than,end
thought,tanke
home,hjem
night,nat
put,sætte
great,stor
those,dem
last,sidst
better,bedre
everything,alt
told,fortalte
mr.,hr.
new,ny
things,ting
always,altid
keep,holde
long,lang
years,år
leave,forlade
does,gør
money,penge
around,omkring
doesn,gør ikke
name,navn
place,placere
ever,nogensinde
feel,føle
guys,fyre
father,far
guy,fyr
made,lavet
old,gammel
isn,ikke
which,hvilke
big,stor
lot,masse
done,færdig
hello,hej
nice,pæn
believe,tro
girl,pige
someone,nogen
fine,bøde
thanks,tak
wanted,ønskede
kind,slags
coming,kommer
house,hus
every,hver
ok,okay
through,ved
being,væren
course,kursus
stay,ophold
left,venstre
dad,far
enough,nok
happened,skete
came,kom
may,maj
mother,mor
wrong,forkert
world,verden
bad,dårlig
might,magt
three,tre
today,i dag
listen,lytte
another,en anden
understand,forstå
hear,høre
remember,huske
ask,spørge
own,egen
same,samme
show,vise
else,andet
kill,dræbe
talking,taler
found,fundet
next,næste
getting,at få
care,omsorg
car,bil
looking,leder
son,søn
try,prøve
woman,kvinde
went,gik
hi,hej
dead,død
many,mange
mind,sind
wasn,var ikke
friend,ven
best,bedst
mom,mor
hell,helvede
morning,morgen
trying,prøver
boy,dreng
together,sammen
yourself,dig selv
job,job
saw,sav
family,familie
real,ægte
without,uden
