you,εσείς
i,εγώ
the,ο
to,να
a,ένα
‘s,'μικρό
it,το
and,και
that,ότι
‘t,τ
of,του
is,είναι
in,σε
what,Τι
we,εμείς
me,μου
this,αυτό
he,αυτός
for,για
my,μου
on,επί
have,έχω
your,σας
do,κάνω
was,ήταν
‘m,μ
no,Όχι
not,δεν
be,είναι
are,εκτάριο
don,κύριος
‘re,'σχετικά με
know,ξέρω
can,κουτί
with,με
but,αλλά
all,όλοι
so,έτσι
just,μόλις
there,εκεί
here,εδώ
they,αυτοί
like,σαν
‘ll,θα
get,παίρνω
she,αυτή
go,πάω
if,αν
right,δικαίωμα
out,έξω
about,για
up,επάνω
at,στο
him,αυτόν
now,τώρα
oh,ω
one,ένας
come,Έλα
well,Λοιπόν
her,αυτήν
how,πως
yeah,ναι
‘ve,έχω
will,θα
got,πήρα
want,θέλω
think,νομίζω
as,ως
see,βλέπω
did,έκανε
good,καλός
who,ΠΟΥ
why,Γιατί
from,από
let,αφήνω
his,του
yes,Ναί
when,όταν
going,μετάβαση
time,φορά
an,ένα
okay,καλά
back,πίσω
look,ματιά
us,μας
would,θα
them,τους
where,όπου
were,ήταν
take,παίρνω
then,τότε
had,είχε
or,ή
been,ήταν
our,μας
gonna,πρόκειται
tell,λέγω
really,πραγματικά
man,άνθρωπος
some,μερικοί
say,λέγω
hey,γεια
could,θα μπορούσε
‘d,'ρε
didn,δεν
by,με
need,ανάγκη
something,κάτι
has,έχει
too,πολύ
more,περισσότερο
way,τρόπος
down,κάτω
make,μάρκα
very,πολύ
never,ποτέ
only,μόνο
people,άνθρωποι
over,υπερ
because,επειδή
little,λίγο
please,παρακαλώ
love,αγάπη
should,θα έπρεπε
mean,μέσο
said,είπε
sorry,Συγνώμη
give,δίνω
off,μακριά από
am,π.μ
thank,ευχαριστώ
any,κάθε
two,δυο
even,ακόμη και
much,πολύ
doing,πράξη
sure,σίγουρος
thing,πράγμα
these,αυτοί
help,βοήθεια
first,πρώτα
into,σε
anything,οτιδήποτε
still,ακόμη
find,εύρημα
life,ζωή
nothing,τίποτα
sir,Κύριε
day,ημέρα
god,θεός
work,εργασία
their,τους
uh,εεε
again,πάλι
maybe,ίσως
must,πρέπει
before,προτού
other,άλλος
wait,Περιμένετε
stop,στάση
call,κλήση
after,μετά
won,γουόν
talk,ομιλία
away,μακριά
than,από
thought,σκέψη
home,σπίτι
night,νύχτα
put,βάζω
great,μεγάλος
those,εκείνοι
last,τελευταίος
better,καλύτερα
everything,πάντα
told,είπε
mr.,κ.
new,νέος
things,πράγματα
always,πάντοτε
keep,διατήρηση
long,μακρύς
years,χρόνια
leave,άδεια
does,κάνει
money,χρήματα
around,γύρω
doesn,δεν
