$20 is $20,20ドルは20ドル
'ark at 'ee,びっくりした
'fess up,白状する
'fraid not,恐らく無理でしょう
'fraid so,そう思います
'nuff said,言うことなし
'til next time,またね
'til the cows come home,いつまでも
'til we meet again,また会う日まで
'tis the season,今がその時です
10 points to Gryffindor,グリフィンドールに10点
11 Downing Street,ダウニング街11番地
110 proof,110プルーフ
11th commandment,第11条の戒め
12-ounce curls,12オンスのウェーブヘア
13th reason why,13の理由
15 minutes of fame,15分の有名
20 bucks is 20 bucks,20ドルは20ドル
20 dollars is 20 dollars,20ドルは20ドルです
20 whole dollars,20ドル
20% cooler,20%涼しい
23 skidoo,さあ行こう
23 Skidoo Street,23 スキュー通り
51 percent,51パーセント
800-pound gorilla,圧倒的な存在
a bad penny always comes back,災難は油断ならない
a bad penny always turns up,災難は油断ならない
a balancing act,バランスを取る
a barking dog never bites,吠える犬は決して噛まない
a barking dog seldom bites,吠える犬はまれに噛む
a big ask,難しいお願い
a big mouth,口が大きい
a bird in the hand,手に負えるもの
a boon and a bane,良いことと悪いことの両方
a breath of fresh air,新鮮な空気
a bridge too far,無理な要求
a buck is a buck,1ドルは1ドル
a buck's a buck,1ドルは1ドル
a bumpy ride,揺れる道
a burnt child dreads the fire,火傷した子供は火を恐れる
a calorie is a calorie,カロリーはカロリー
a case in point,具体例
a cash cow,金のなる木
a change of heart,考えを変える
a cigar is a cigar,葉巻は葉巻である
a cigar is just a cigar,葉巻はただの葉巻だ
a closed mouth catches no flies,口を閉じていれば災いを避ける
a closed mouth doesn't get fed,口を閉めていればお腹は満たされない
a closed mouth gathers no feet,口を閉じていれば災いを招かない
a cold day in July,7月の寒い日
a creaking door hangs longest,物事は使い続けるほど長持ちする
a cut above,抜きん出た
a cut above the rest,他のものより優れている
a danger foreseen is half avoided,予見された危険は半分避けられる
a dark horse,穴馬
a dead end,行き止まり
a deal is a deal,約束は守るべき
a dime a dozen,ありふれた
a fact of life,人生の真実
a far remove,遠く離れた
a fault confessed is half redressed,過ちを認めることは、解決の半分を終えることだ
a fine line,微妙な線
a fool and his money,愚か者はすぐに金を使う
A for effort,頑張ったね
a frame of mind,考え方
a free agent,自由契約選手
a full-time job,正社員の仕事
a game plan,戦略
a good bet,良い賭け
a good deal,お得な取引
a gray area,グレーゾーン
a great deal,たくさん
a grey area,グレーゾーン
a gut feeling,直感
a head start,有利なスタート
a hen night,女子会
a hen party,女子会
a high profile,高知名度
a hit dog hollers,吠える犬は噛まない
a hit dog will holler,痛い犬は吠える
a horse apiece,それぞれ一頭ずつ
a house is not a home,家は必ずしも故郷ではない
a hundred and ten percent,百十パーセント
a into g,aからgへ
a juggling act,皿回し
a la,フランス語
a laughing stock,笑いもの
a leading light,先駆者
a leopard can't change its spots,人は変わらない
a leopard cannot change its spots,人は変わらない
a level playing field,公平な競争条件
a lie has no legs,嘘には足がない
a little bird told me,誰かが私に教えてくれた
a little birdie told me,誰かが私に教えてくれた
a little goes a long way,少しの量でも効果がある
a little pot is soon hot,小さな鍋はすぐに熱くなる
a long shot,大穴
a lump in one's throat,のどが詰まる
a magician never reveals his secrets,魔法使いは決してその秘密を明かさない
a man's home is his castle,男の家は城である
a means to an end,手段
a mite,ダニ
a mixed bag,良い面と悪い面がある
a new broom sweeps clean,新しい人が来ると物事がうまくいく
a new lease of life,新たな活気
a new man,新しい人
a new woman,新しい女性
a notch above,一段上
a number of,いくつかの
a one-night stand,一夜限りの関係
a pain in the arse,面倒くさい
a pain in the ass,面倒くさい
a pain in the neck,迷惑なこと
a pat on the back,背中を叩く
a pecking order,序列
a perfect storm,完璧な嵐
a picture paints a thousand words,一幅の絵は千の言葉に匹敵する
a pit stop,ピットストップ
a plague o' both your houses,お互いの家にも災いが訪れますように
a plague on both your houses,お前たちの家には災いが訪れるだろう
a pound to a penny,一文の価値がある
a pox on both your houses,お互いの家を呪う
a promise is a promise,約束は約束
a question mark over somebody,疑問符がつく
a question mark over something,疑問符
a quick fix,応急処置
a race against the clock,時間との競争
a race against time,時間との競争
a red flag,赤信号
a red herring,誤った情報
a rising tide lifts all boats,全体が良くなる
a rite of passage,通過儀式
a Roland for an Oliver,同類交換
a roll of honour,名簿
a rolling stone gathers no moss,転々と変わる人は成功しない
a rough ride,荒れた道
a rule of thumb,経験則
a safe bet,安全な選択肢
a safety net,セーフティネット
a sea change,大きな変化
a slippery slope,滑りやすい坂道
a smooth ride,スムーズな運転
a stitch in time saves nine,転ばぬ先の杖
a stumbling block,障害
a sucker is born every minute,毎日、騙される人が生まれる
a tall order,難しいこと
a thin line,細い線
a thing or two,少しのこと
a thousand,千
a Trojan horse,トロイの木馬
a turkey voting for Christmas,クリスマスに七面鳥が投票する
a turn of phrase,言い回し
a twinkle in someone's eye,目の中に光るもの
a vicious circle,悪循環
a vote of confidence,信任投票
a wake-up call,目覚まし
a war of words,口論
a watched kettle never boils,じっと見ていると水は沸騰しない
a watched pot never boils,じっと待っていると時間が経つように感じる
a watched pot never boils over,じっと待っていると時間が経つ
a wee bit,少しだけ
a week from next Tuesday,来週の火曜日から一週間後
a wild card,ワイルドカード
a wish list,欲しいものリスト
a woman's work is never done,女の仕事は終わらない
a year and a day,一年と一日
ab off,オフ
aback of,後ろの
abate of,軽減
Abbot's Priory,修道院長邸
abide by,守る
abound in one's own sense,独自の考えに富む
about one's ears,耳のあたり
about one's person,その人のことについて
about that life,そういう生活について
about time,今さら
about turn,方向転換
