you,Bạn
i,Tôi
the,cái
to,ĐẾN
a,Một
‘s,'S
it,Nó
and,Và
that,cái đó
‘t,'t
of,của
is,là
in,TRONG
what,Gì
we,chúng tôi
me,Tôi
this,cái này
he,Anh ta
for,vì
my,Của tôi
on,TRÊN
have,có
your,của bạn
do,LÀM
was,đã từng là
‘m,'m
no,KHÔNG
not,không
be,là
are,là
don,giảng viên đại học
‘re,'nốt Rê
know,biết
can,Có thể
with,với
but,Nhưng
all,tất cả
so,Vì thế
just,chỉ
there,ở đó
here,đây
they,họ
like,giống
‘ll,'ll
get,lấy
she,cô ấy
go,đi
if,nếu như
right,Phải
out,ngoài
about,Về
up,hướng lên
at,Tại
him,anh ta
now,Hiện nay
oh,Ồ
one,một
come,đến
well,Tốt
her,cô ấy
how,Làm sao
yeah,vâng
‘ve,'ve
will,sẽ
got,lấy
want,muốn
think,nghĩ
as,BẰNG
see,nhìn thấy
did,làm
good,Tốt
who,Ai
why,Tại sao
from,từ
let,cho phép
his,của anh ấy
yes,Đúng
when,khi
going,đang đi
time,thời gian
an,MỘT
okay,được rồi
back,mặt sau
look,Nhìn
us,chúng ta
would,sẽ
them,họ
where,Ở đâu
were,đã từng
take,lấy
then,sau đó
had,có
or,hoặc
been,là
our,của chúng tôi
gonna,sẽ
tell,kể
really,Thực ra
man,người đàn ông
some,một số
say,nói
hey,Chào
could,có thể
‘d,'d
didn,không
by,qua
need,nhu cầu
something,thứ gì đó
has,có
too,cũng vậy
more,hơn
way,đường
down,xuống
make,làm
very,rất
never,không bao giờ
only,chỉ một
people,mọi người
over,qua
because,bởi vì
little,nhỏ bé
please,Xin vui lòng
love,yêu
should,nên
mean,nghĩa là
said,nói
sorry,Xin lỗi
give,đưa cho
off,tắt
am,là
thank,cám ơn
any,bất kì
two,hai
even,thậm chí
much,nhiều
doing,đang làm
sure,Chắc chắn
thing,điều
these,những cái này
help,giúp đỡ
first,Đầu tiên
into,vào trong
anything,bất cứ điều gì
still,vẫn
find,tìm thấy
life,mạng sống
nothing,Không có gì
sir,thưa ngài
day,ngày
god,chúa
work,công việc
their,của họ
uh,ừm
again,lại
maybe,Có lẽ
must,phải
before,trước
other,khác
wait,Chờ đợi
stop,dừng lại
call,gọi
after,sau đó
won,thắng
talk,nói chuyện
