you,toi
i,je
the,le
to,à
a,un
‘s,le
it,il
and,et
that,que
‘t,'t
of,de
is,est
in,dans
what,quoi
we,nous
me,moi
this,ce
he,il
for,pour
my,mon
on,sur
have,avoir
your,ton
do,faire
was,était
‘m,‘m
no,Non
not,pas
be,être
are,sont
don,enfiler
‘re,'concernant
know,savoir
can,peut
with,avec
but,mais
all,tous
so,donc
just,juste
there,là
here,ici
they,ils
like,comme
‘ll,«
get,obtenir
she,elle
go,aller
if,si
right,droite
out,dehors
about,à propos
up,en haut
at,à
him,lui
now,maintenant
oh,Oh
one,un
come,viens
well,Bien
her,son
how,comment
yeah,Ouais
‘ve,‘ve
will,volonté
got,a obtenu
want,vouloir
think,pense
as,comme
see,voir
did,a fait
good,bien
who,OMS
why,pourquoi
from,depuis
let,laisser
his,son
yes,Oui
when,quand
going,en allant
time,temps
an,un
okay,d'accord
back,dos
look,regarder
us,nous
would,serait
them,eux
where,où
were,étaient
take,prendre
then,alors
had,avait
or,ou
been,a été
our,notre
gonna,va
tell,dire
really,vraiment
man,homme
some,quelques
say,dire
hey,Hé
could,pourrait
‘d,'d
didn,n'a pas
by,par
need,besoin
something,quelque chose
has,a
too,aussi
more,plus
way,chemin
down,vers le bas
make,faire
very,très
never,jamais
only,seulement
people,personnes
over,sur
because,parce que
little,petit
please,s'il te plaît
love,amour
should,devrait
mean,signifier
said,dit
sorry,Désolé
give,donner
off,désactivé
am,suis
thank,remercier
any,n'importe lequel
two,deux
even,même
much,beaucoup
doing,faire
sure,bien sûr
thing,chose
these,ces
help,aide
first,d'abord
into,dans
anything,rien
still,toujours
find,trouver
life,vie
nothing,rien
sir,Monsieur
day,jour
god,Dieu
work,travail
their,leur
uh,euh
again,encore
maybe,peut être
must,doit
before,avant
other,autre
wait,attendez
stop,arrêt
call,appel
after,après
won,gagné
talk,parler
away,loin
than,que
thought,pensée
home,maison
night,nuit
put,mettre
great,super
those,ceux
last,dernier
better,mieux
everything,tout
told,dit
mr.,M.
new,nouveau
things,des choses
always,toujours
keep,garder
long,long
years,années
leave,partir
does,fait
money,argent
around,autour
doesn,ne
name,nom
place,lieu
ever,jamais
feel,sentir
guys,les gars
father,père
guy,gars
made,fait
old,vieux
isn,n'est-ce pas
which,lequel
big,grand
lot,parcelle
done,fait
hello,Bonjour
nice,bon
believe,croire
girl,fille
someone,quelqu'un
fine,bien
thanks,merci
wanted,recherché
kind,gentil
coming,à venir
house,maison
every,chaque
ok,d'accord
through,à travers
being,être
course,cours
stay,rester
left,gauche
dad,papa
enough,assez
happened,arrivé
came,est venu
may,peut
mother,mère
wrong,faux
world,monde
bad,mauvais
might,pourrait
three,trois
today,aujourd'hui
listen,écouter
another,un autre
understand,comprendre
hear,entendre
remember,souviens-toi
ask,demander
own,propre
same,même
show,montrer
else,autre
kill,tuer
talking,parler
found,trouvé
next,suivant
getting,obtenir
care,soins
car,voiture
looking,regarder
son,fils
try,essayer
woman,femme
went,est allé
hi,Salut
dead,mort
many,beaucoup
mind,esprit
wasn,n'était
friend,ami
best,meilleur
mom,maman
hell,enfer
morning,matin
trying,en essayant
boy,garçon
together,ensemble
yourself,toi-même
job,emploi
saw,scie
family,famille
real,réel
without,sans
baby,bébé
room,chambre
wouldn,ne
already,déjà
move,se déplacer
most,la plupart
seen,vu
live,en direct
miss,manquer
actually,en fait
huh,hein
shit,merde
both,les deux
heard,entendu
once,une fois
ready,prêt
head,tête
called,appelé
used,utilisé
idea,idée
knew,savait
hold,prise
happy,heureux
door,porte
such,tel
fuck,Putain
brother,frère
also,aussi
pretty,joli
bit,peu
took,a pris
haven,havre
yet,encore
men,hommes
whole,entier
start,commencer
use,utiliser
while,alors que
since,depuis
wife,épouse
days,jours
guess,deviner
tomorrow,demain
matter,matière
meet,rencontrer
bring,apporter
tonight,ce soir
everyone,tout le monde
run,courir
wanna,veut
hard,dur
ah,ah
alone,seul
myself,moi-même
school,école
gone,disparu
um,euh
end,fin
saying,adage
phone,téléphone
play,jouer
looks,regard
couldn,ne pouvait pas
fucking,putain de
problem,problème
few,peu
friends,amis
gotta,je dois
ago,il y a
open,ouvrir
anyone,n'importe qui
killed,tué
hope,espoir
face,affronter
until,jusqu'à
lost,perdu
police,police
excuse,excuse
turn,tourner
business,entreprise
case,cas
wants,veut
says,dit
true,vrai
die,mourir
heart,cœur
soon,bientôt
each,chaque
worry,inquiétude
later,plus tard
year,année
watch,montre
music,musique
hand,main
having,ayant
probably,probablement
beautiful,beau
doctor,médecin
sit,s'asseoir
eat,manger
thinking,pensée
young,jeune
second,deuxième
working,fonctionnement
water,eau
person,personne
part,partie
kids,enfants
late,en retard
stuff,truc
exactly,exactement
under,sous
death,la mort
minute,minute
pay,payer
crazy,fou
forget,oublier
everybody,tout le monde
kid,enfant
change,changement
gave,a donné
happen,arriver
damn,condamner
five,cinq
drink,boire
far,loin
knows,sait
its,c'est
whatever,peu importe
eyes,yeux
shut,fermer
aren,ne sont pas
hit,frapper
taking,prise
easy,facile
times,fois
check,vérifier
hands,mains
minutes,minutes
deal,accord
different,différent
means,moyens
point,indiquer
inside,à l'intérieur
makes,fait
asked,demandé
somebody,quelqu'un
mine,le mien
making,fabrication
body,corps
afraid,effrayé
sleep,dormir
chance,chance
dear,cher
quite,assez
four,quatre
anyway,de toute façon
close,fermer
ain,ain
party,faire la fête
fun,amusant
against,contre
word,mot
comes,vient
important,important
set,ensemble
shall,devoir
story,histoire
number,nombre
daughter,fille
least,moins
waiting,en attendant
hurt,blesser
wish,souhait
moment,moment
fight,lutte
week,semaine
husband,mari
girls,filles
rest,repos
married,marié
fire,feu
game,jeu
nobody,personne
mr,M.
children,enfants
side,côté
stand,rester
read,lire
though,cependant
cut,couper
started,commencé
sister,sœur
supposed,censé
between,entre
child,enfant
goes,va
hours,heures
speak,parler
women,femmes
behind,derrière
almost,presque
truth,vérité
blood,sang
able,capable
lady,dame
anymore,plus
playing,jouant
gets,obtient
shot,tir
reason,raison
trouble,inquiéter
break,casser
war,guerre
city,ville
walk,marcher
town,ville
trust,confiance
dr.,docteur
met,rencontré
office,bureau
question,question
brought,apporté
yours,le vôtre
