you,أنت
i,أنا
the,ال
to,ل
a,أ
‘s,'s
it,هو - هي
and,و
that,الذي - التي
‘t,لا
of,ل
is,يكون
in,في
what,ماذا
we,نحن
me,أنا
this,هذا
he,هو
for,ل
my,لي
on,على
have,يملك
your,لك
do,يفعل
was,كان
‘m,أنا
no,لا
not,لا
be,يكون
are,نكون
don,اِتَّشَح
‘re,'يكرر
know,يعرف
can,يستطيع
with,مع
but,لكن
all,الجميع
so,لذا
just,فقط
there,هناك
here,هنا
they,هم
like,يحب
‘ll,سوف
get,يحصل
she,هي
go,يذهب
if,لو
right,يمين
out,خارج
about,عن
up,أعلى
at,في
him,له
now,الآن
oh,أوه
one,واحد
come,يأتي
well,حسنًا
her,ها
how,كيف
yeah,نعم
‘ve,لقد
will,سوف
got,يملك
want,يريد
think,يفكر
as,مثل
see,يرى
did,فعل
good,جيد
who,من
why,لماذا
from,من
let,يترك
his,له
yes,نعم
when,متى
going,ذاهب
time,وقت
an,أن
okay,تمام
back,خلف
look,ينظر
us,نحن
would,كان
them,هم
where,أين
were,كان
take,يأخذ
then,ثم
had,ملك
or,أو
been,كان
our,ملكنا
gonna,سوف أفعل
tell,يخبر
really,حقًا
man,رجل
some,بعض
say,يقول
hey,يا
could,استطاع
‘d,د
didn,لم
by,بواسطة
need,يحتاج
something,شئ ما
has,لديه
too,أيضاً
more,أكثر
way,طريق
down,تحت
make,يصنع
very,جداً
never,أبداً
only,فقط
people,الناس
over,زيادة
because,لأن
little,قليل
please,لو سمحت
love,حب
should,يجب
mean,يقصد
said,قال
sorry,آسف
give,يعطي
off,عن
am,أكون
thank,شكر
any,أي
two,اثنين
even,حتى
much,كثيراً
doing,عمل
sure,بالتأكيد
thing,شيء
these,هؤلاء
help,يساعد
first,أولاً
into,داخل
anything,أي شئ
still,ما زال
find,يجد
life,حياة
nothing,لا شئ
sir,سيد
day,يوم
god,إله
work,عمل
their,هُم
uh,أوه
again,مرة أخرى
maybe,ربما
must,يجب
before,قبل
other,آخر
wait,انتظر
stop,قف
call,يتصل
after,بعد
won,فاز
talk,يتحدث
away,بعيد
than,من
thought,معتقد
home,بيت
night,ليلة
put,يضع
great,عظيم
those,أولئك
last,آخر
better,أحسن
everything,كل شئ
told,قال
mr.,السيد.
new,جديد
things,أشياء
always,دائماً
keep,يحفظ
long,طويل
years,سنين
leave,يترك
does,يفعل
money,مال
around,حول
doesn,لا
name,اسم
place,مكان
ever,أبدًا
feel,يشعر
guys,شباب
father,أب
guy,رجل
made,صنع
