you,너
i,나
the,그만큼
to,에게
a,에이
‘s,'에스
it,그것
and,그리고
that,저것
‘t,'티
of,~의
is,~이다
in,~에
what,무엇
we,우리
me,나
this,이것
he,그
for,~을 위한
my,나의
on,~에
have,가지다
your,당신의
do,하다
was,~였다
‘m,'중
no,아니요
not,~ 아니다
be,BE
are,~이다
don,두목
‘re,'답장
know,알다
can,~할 수 있다
with,~와 함께
but,하지만
all,모두
so,그래서
just,단지
there,거기
here,여기
they,그들
like,좋다
‘ll,'ll
get,얻다
she,그녀
go,가다
if,만약에
right,오른쪽
out,밖으로
about,~에 대한
up,위로
at,~에
him,그를
now,지금
oh,오
one,하나
come,오다
well,잘
her,그녀의
how,어떻게
yeah,응
‘ve,'ve
will,~ 할 것이다
got,갖다
want,원하다
think,생각하다
as,~처럼
see,보다
did,했다
good,좋은
who,WHO
why,왜
from,~에서
let,허락하다
his,그의
yes,예
when,언제
going,가고 있다
time,시간
an,안
okay,좋아요
back,뒤쪽에
look,바라보다
us,우리를
would,~일 것이다
them,그들을
where,어디
were,~이었다
take,가져가다
then,그 다음에
had,가졌다
or,또는
been,계속 ~ 이다
our,우리의
gonna,갈 거야
tell,말하다
really,정말
man,남성
some,일부
say,말하다
hey,여기요
could,~할 수 있었다
‘d,'디
didn,하지 않았다
by,~에 의해
need,필요
something,무엇
has,가지다
too,~도
more,더
way,방법
down,아래에
make,만들다
very,매우
never,절대
only,오직
people,사람들
over,~ 위에
because,왜냐하면
little,작은
please,제발
love,사랑
should,~해야 한다
mean,평균
said,말했다
sorry,죄송합니다
give,주다
off,끄다
am,~이다
thank,감사하다
any,어느
two,둘
even,심지어
much,많이
doing,행위
sure,확신하는
thing,물건
these,이것들
help,돕다
first,첫 번째
into,~ 안으로
anything,아무것
still,아직
find,찾다
life,삶
nothing,아무것도 아님
sir,선생님
day,낮
god,하나님
work,일하다
their,그들의
uh,음
again,다시
maybe,아마도
must,~ 해야 하다
before,~ 전에
other,다른
wait,기다리다
stop,멈추다
call,부르다
after,~ 후에
won,이겼다
talk,말하다
away,떨어져 있는
than,~보다
thought,생각
home,집
night,밤
put,놓다
