you,คุณ
i,ฉัน
the,ที่
to,ถึง
a,เอ
‘s,ของ
it,มัน
and,และ
that,ที่
‘t,‘t
of,ของ
is,เป็น
in,ใน
what,อะไร
we,เรา
me,ฉัน
this,นี้
he,เขา
for,สำหรับ
my,ของฉัน
on,บน
have,มี
your,ของคุณ
do,ทำ
was,เคยเป็น
‘m,ม
no,เลขที่
not,ไม่
be,เป็น
are,เป็น
don,สวมใส่
‘re,'อีกครั้ง
know,ทราบ
can,สามารถ
with,กับ
but,แต่
all,ทั้งหมด
so,ดังนั้น
just,แค่
there,ที่นั่น
here,ที่นี่
they,พวกเขา
like,ชอบ
‘ll,‘ll
get,รับ
she,เธอ
go,ไป
if,ถ้า
right,ขวา
out,ออก
about,เกี่ยวกับ
up,ขึ้น
at,ที่
him,เขา
now,ตอนนี้
oh,โอ้
one,หนึ่ง
come,มา
well,ดี
her,ของเธอ
how,ยังไง
yeah,ใช่
‘ve,‘ve
will,จะ
got,ได้รับ
want,ต้องการ
think,คิด
as,เช่น
see,ดู
did,ทำ
good,ดี
who,WHO
why,ทำไม
from,จาก
let,อนุญาต
his,ของเขา
yes,ใช่
when,เมื่อไร
going,กำลังไป
time,เวลา
an,หนึ่ง
okay,ตกลง
back,กลับ
look,ดู
us,เรา
would,จะ
them,พวกเขา
where,ที่ไหน
were,คือ
take,เอา
then,แล้ว
had,มี
or,หรือ
been,เป็น
our,ของเรา
gonna,จะ
tell,บอก
really,จริงหรือ
man,ผู้ชาย
some,บาง
say,พูด
hey,เฮ้
could,สามารถ
‘d,‘d
didn,ไม่ได้
by,โดย
need,ความต้องการ
something,บางสิ่งบางอย่าง
has,มี
too,ด้วย
more,มากกว่า
way,ทาง
down,ลง
make,ทำ
very,มาก
never,ไม่เคย
only,เท่านั้น
people,ประชากร
over,เกิน
because,เพราะ
little,เล็กน้อย
please,โปรด
love,รัก
should,ควร
mean,หมายถึง
said,พูดว่า
sorry,ขอโทษ
give,ให้
off,ปิด
am,เช้า
thank,ขอบคุณ
any,ใดๆ
two,สอง
even,สม่ำเสมอ
much,มาก
doing,ทำ
sure,แน่นอน
thing,สิ่ง
these,เหล่านี้
help,ช่วย
first,อันดับแรก
into,เข้าไปข้างใน
anything,อะไรก็ตาม
still,นิ่ง
find,หา
life,ชีวิต
nothing,ไม่มีอะไร
sir,ท่าน
day,วัน
god,พระเจ้า
work,งาน
their,ของพวกเขา
uh,เอ่อ
again,อีกครั้ง
maybe,อาจจะ
must,ต้อง
before,ก่อน
other,อื่น
wait,รอ
stop,หยุด
call,เรียก
after,หลังจาก
won,วอน
talk,พูดคุย
away,ห่างออกไป
than,กว่า
thought,คิด
home,บ้าน
night,กลางคืน
put,ใส่
great,ยอดเยี่ยม
those,เหล่านั้น
last,ล่าสุด
better,ดีกว่า
everything,ทุกอย่าง
told,บอก
mr.,นาย.
new,ใหม่
things,สิ่งของ
always,เสมอ
keep,เก็บ
long,ยาว
years,ปี
leave,ออกจาก
does,ทำ
money,เงิน
around,รอบๆ
doesn,ไม่
name,ชื่อ
place,สถานที่
ever,เคย
feel,รู้สึก
guys,พวก
father,พ่อ
guy,ผู้ชาย
made,ทำ
old,เก่า
isn,ไม่ใช่
which,ที่
big,ใหญ่
lot,มาก
done,เสร็จแล้ว
hello,สวัสดี
nice,ดี
believe,เชื่อ
girl,สาว
someone,บางคน
fine,ดี
thanks,ขอบคุณ
wanted,เป็นที่ต้องการ
kind,ใจดี
coming,มา
