you,ти
i,я
the,той/та/те
to,до
a,а
‘s,«s
it,це
and,і
that,що
‘t,«т»
of,з
is,є
in,в
what,що
we,ми
me,мене
this,це
he,він
for,для
my,мій
on,на
have,мати
your,твій
do,робити
was,був
‘m,м
no,ні
not,не
be,бути
are,є
don,дон
‘re,знову
know,знати
can,може
with,з
but,але
all,всі
so,так
just,просто
there,там
here,тут
they,вони
like,як
‘ll,буду
get,отримати
she,вона
go,йти
if,якщо
right,право
out,вихід
about,про
up,вгору
at,о
him,його
now,зараз
oh,ох
one,один
come,прийти
well,добре
her,її
how,як
yeah,так
‘ve,«ве»
will,буде
got,отримав
want,хочу
think,думати
as,як
see,бачити
did,зробив
good,добре
who,ВООЗ
why,чому
from,з
let,дозволити
his,його
yes,так
when,коли
going,збирається
time,час
an,один
okay,гаразд
back,назад
look,вигляд
us,нас
would,би
them,їх
where,де
were,були
take,взяти
then,тоді
had,мав
or,або
been,був
our,наш
gonna,збирається
tell,розповісти
really,справді
man,чоловік
some,деякі
say,сказати
hey,Гей
could,міг
‘d,«д»
didn,не
by,від
need,потреба
something,щось
has,має
too,також
more,більше
way,шлях
down,вниз
make,зробити
very,дуже
never,ніколи
only,тільки
people,люди
over,понад
because,тому що
little,маленький
please,будь ласка
love,кохання
should,слід
mean,середній
said,сказав
sorry,вибачте
give,дати
off,вимкнено
am,ранку
thank,дякую
any,будь-який
two,два
even,навіть
much,багато
doing,робити
sure,впевнений
thing,річ
these,ці
help,допомога
first,перший
into,в
anything,будь-що
still,все ще
find,знайти
life,життя
nothing,нічого
sir,пан
day,день
god,бог
work,робота
their,їхні
uh,е-е
again,знову
maybe,можливо
must,повинен
before,перед
other,інший
wait,чекати
stop,СТІЙ
call,дзвінок
after,після
won,виграв
talk,розмова
away,геть
than,ніж
thought,думка
home,дім
night,ніч
put,покласти
great,чудовий
those,ті
last,останній
better,краще
everything,все
told,сказав
mr.,пан
new,новий
things,речі
always,завжди
keep,тримати
long,довгий
years,роки
leave,залишити
does,робить
money,гроші
around,навколо
doesn,не
name,ім'я
place,місце
ever,коли-небудь
feel,відчувати
guys,хлопці
father,батько
guy,хлопець
made,зроблений
old,старий
isn,хіба
which,який
big,великий
lot,багато
done,зроблено
hello,привіт
nice,гарний
believe,вірити
girl,дівчина
someone,хтось
fine,штраф
thanks,дякую
wanted,розшукуваний
kind,вид
coming,прихід
house,будинок
every,кожен
ok,добре
through,через
being,буття
course,курс
stay,перебування
left,ліворуч
dad,тато
enough,достатньо
happened,сталося
came,прийшов
may,може
mother,мати
wrong,неправильно
world,світ
bad,поганий
might,може
three,три
today,сьогодні
listen,слухати
another,інший
understand,зрозуміти
hear,чути
remember,пам'ятати
ask,запитати
own,власний
same,той самий
show,шоу
else,інше
kill,вбити
talking,розмова
found,знайдено
next,далі
getting,отримання
care,турбота
car,автомобіль
looking,шукає
son,син
try,спробувати
woman,жінка
went,пішов
hi,привіт
dead,мертвий
many,багато
mind,розум
wasn,не було
friend,друг
best,найкращий
mom,мама
hell,пекло
morning,ранок
trying,намагається
boy,хлопчик
together,разом
yourself,себе
job,робота
saw,пила
family,сім'я
real,справжній
without,без
baby,дитина
room,кімната
wouldn,не
already,вже
move,рухатися
most,більшість
seen,бачив
live,жити
miss,промах
actually,насправді
huh,га
shit,лайно
both,обидва
heard,чув
once,одного разу
ready,готовий
head,голова
called,називається
used,використаний
idea,ідея
knew,знав
hold,утримувати
happy,щасливий
door,двері
such,такий
fuck,трахати
brother,брат
also,також
pretty,гарненький
bit,біт
took,взяв
haven,гавань
yet,ще
men,чоловіки
whole,цілий
start,початок
use,використання
while,поки
since,з
wife,дружина
days,дні
guess,здогадка
tomorrow,завтра
matter,матерія
meet,зустрітися
bring,принести
tonight,сьогодні ввечері
everyone,кожен
run,бігти
wanna,хочу
hard,важко
ah,ах
alone,один
myself,себе
school,школа
gone,пішов
um,гм
end,кінець
saying,приказка
phone,телефон
play,грати
looks,виглядає
couldn,не міг
fucking,трахання
problem,проблема
few,кілька
friends,друзі
gotta,треба
ago,тому
open,ВІДЧИНЕНО
anyone,будь-хто
killed,убитий
hope,надія
face,обличчя
until,доки
lost,втрачений
police,поліція
excuse,виправдання
turn,поворот
business,бізнес
case,справа
wants,хоче
says,каже
true,правда
die,померти
heart,серце
soon,незабаром
each,кожен
worry,хвилюватися
later,пізніше
year,рік
watch,годинник
music,музика
hand,рука
having,маючи
probably,ймовірно
beautiful,гарний
doctor,лікар
sit,сидіти
eat,їсти
thinking,мислення
young,молодий
second,другий
working,робочий
water,вода
person,людина
part,частина
kids,діти
late,пізно
stuff,речі
exactly,точно
under,під
death,смерть
minute,хвилина
pay,платити
crazy,божевільний
forget,забути
everybody,кожен
kid,дитина
change,зміна
gave,дав
happen,траплятися
damn,чорт
five,п'ять
drink,пити
far,далеко
knows,знає
its,його
whatever,що завгодно
eyes,очі
shut,закрити
aren,арен
hit,вдарити
taking,взяття
easy,легко
times,рази
check,перевірити
hands,руки
minutes,хвилин
deal,угода
different,різні
means,означає
point,точка
inside,всередині
makes,робить
asked,запитав
somebody,хтось
mine,моя
making,створення
body,тіло
afraid,боятися
sleep,сон
chance,шанс
dear,дорогий
quite,цілком
four,чотири
anyway,у будь-якому разі
close,близько
ain,Айн
party,вечірка
fun,весело
against,проти
word,слово
comes,приходить
important,важливий
set,набір
shall,повинен
story,історія
number,число
daughter,дочка
least,щонайменше
waiting,очікування
hurt,боляче
wish,бажання
moment,момент
fight,боротьба
week,тиждень
husband,чоловік
girls,дівчата
rest,відпочинок
married,одружений/одружена
fire,вогонь
game,гра
nobody,ніхто
mr,пан
children,діти
side,сторона
stand,стояти
read,читати
though,хоча
cut,вирізати
started,розпочато
sister,сестра
supposed,передбачуваний
between,між
child,дитина
goes,йде
hours,години
speak,говорити
women,жінки
behind,позаду
almost,майже
truth,правда
blood,кров
able,здатний
lady,леді
anymore,більше
playing,граючи
gets,отримує
shot,постріл
reason,причина
trouble,проблеми
break,перерва
war,війна
city,місто
walk,ходьба
town,місто
trust,довіра
dr.,доктор
met,зустрів
office,офіс
question,питання
brought,приніс
yours,твій
welcome,ласкаво просимо
high,високий
wow,вау
couple,пара
half,половина
died,помер
cool,круто
free,безкоштовно
either,або
seems,здається
power,влада
whoa,ого
bye,бувай
buy,купити
telling,розповідати
honey,мед
tried,намагався
front,передня частина
team,команда
answer,відповідь
gun,пістолет
boys,хлопчики
line,лінія
send,відправити
news,новини
stupid,дурний
bed,ліжко
hurry,поспішати
full,повний
months,місяці
save,зберегти
sometimes,іноді
become,стати
along,вздовж
hate,ненавидіти
food,їжа
outside,зовні
light,світло
l,л
needs,потреби
dog,собака
country,країна
clear,чітко
order,замовлення
em,їх
fact,факт
lord,пан
captain,капітан
six,шість
hot,гарячий
funny,смішний
black,чорний
mrs.,пані
alive,живий
pick,вибрати
feeling,почуття
living,життя
cause,причина
ahead,попереду
lose,програти
king,король
plan,план
dinner,вечеря
sighs,зітхання
sort,сортувати
leaving,залишаючи
shouldn,не слід
running,біг
boss,бос
alright,добре
promise,обіцянка
taken,взято
safe,безпечний
ma,ма
book,книга
sent,відправлено
white,білий
hour,година
anybody,будь-хто
small,маленький
perfect,ідеальний
‘cause,тому що
lives,життя
special,спеціальний
parents,батьки
s,с
john,Джон
himself,сам
perhaps,можливо
sounds,звуки
serious,серйозний
sick,хворий
company,компанія
ha,ха
scared,наляканий
uncle,дядько
poor,бідний
red,червоний
past,минуле
earth,земля
possible,можливий
shoot,стріляти
touch,дотик
sound,звук
top,верх
ass,дупа
laughs,сміється
cannot,не можу
asking,запитуючи
win,перемогти
glad,радий
control,КОНТРОЛЬ
hmm,хм
human,людина
drive,диск
hair,волосся
jack,Джек
bitch,сука
