you,אַתָה
i,אֲנִי
the,ה
to,אֶל
a,א
‘s,של
it,זֶה
and,ו
that,זֶה
‘t,לא
of,שֶׁל
is,הוא
in,ב
what,מַה
we,אָנוּ
me,לִי
this,זֶה
he,הוּא
for,עֲבוּר
my,שֶׁלִי
on,עַל
have,יש
your,שֶׁלְךָ
do,לַעֲשׂוֹת
was,היה
‘m,מ'
no,לֹא
not,לֹא
be,לִהיוֹת
are,הם
don,דוֹן
‘re,'מִחָדָשׁ
know,לָדַעַת
can,פַּחִית
with,עִם
but,אֲבָל
all,כֹּל
so,כָּך
just,רַק
there,שָׁם
here,כָּאן
they,הֵם
like,כְּמוֹ
‘ll,'א
get,לְקַבֵּל
she,הִיא
go,לָלֶכֶת
if,אִם
right,יָמִינָה
out,הַחוּצָה
about,אוֹדוֹת
up,לְמַעלָה
at,בְּ-
him,אוֹתוֹ
now,עַכשָׁיו
oh,אה
one,אֶחָד
come,לָבוֹא
well,טוֹב
her,שֶׁלָה
how,אֵיך
yeah,כֵּן
‘ve,יש לי
will,רָצוֹן
got,קיבלתי
want,מַחְסוֹר
think,לַחשׁוֹב
as,כְּמוֹ
see,לִרְאוֹת
did,עשה
good,טוֹב
who,WHO
why,מַדוּעַ
from,מִן
let,לְאַפשֵׁר
his,שֶׁלוֹ
yes,כֵּן
when,כַּאֲשֵׁר
going,הולך
time,זְמַן
an,א
okay,בְּסֵדֶר
back,בְּחֲזָרָה
look,מַבָּט
us,לָנוּ
would,היה
them,אוֹתָם
where,אֵיפֹה
were,היו
take,לִיטוֹל
then,אָז
had,היה
or,אוֹ
been,היה
our,שֶׁלָנוּ
gonna,הולך
tell,לְסַפֵּר
really,בֶּאֱמֶת
man,אָדָם
some,כַּמָה
say,לוֹמַר
hey,היי
could,הָיָה יָכוֹל
‘d,ד
didn,לא
by,עַל יְדֵי
need,צוֹרֶך
something,מַשֶׁהוּ
has,יש
too,גַם
more,יוֹתֵר
way,דֶרֶך
down,לְמַטָה
make,לַעֲשׂוֹת
very,מְאוֹד
never,לְעוֹלָם לֹא
only,רַק
people,אֲנָשִׁים
over,מֵעַל
because,כִּי
little,קְצָת
please,אָנָא
love,אַהֲבָה
should,צריך
mean,מְמוּצָע
said,אמר
sorry,מִצטַעֵר
give,לָתֵת
off,כבוי
am,בבוקר
thank,לְהוֹדוֹת
any,כֹּל
two,דוּ
even,אֲפִילוּ
much,הַרבֵּה
doing,מַעֲשֶׂה
sure,בַּטוּחַ
thing,דָבָר
these,אֵלֶה
help,עֶזרָה
first,רֵאשִׁית
into,לְתוֹך
anything,דָבָר
still,עוֹד
find,לִמצוֹא
life,חַיִים
nothing,שׁוּם דָבָר
sir,אֲדוֹנִי
day,יְוֹם
god,אֵל
work,עֲבוֹדָה
their,שֶׁלָהֶם
uh,אה
again,שׁוּב
maybe,אוּלַי
must,חוֹבָה
before,לִפנֵי
other,אַחֵר
wait,לַחֲכוֹת
stop,לְהַפְסִיק
call,שִׂיחָה
after,לְאַחַר
won,ווֹן
talk,לְדַבֵּר
away,רָחוֹק
than,מֵאֲשֶׁר
thought,מַחֲשָׁבָה
home,בַּיִת
night,לַיְלָה
put,לָשִׂים
great,גָדוֹל
those,הָהֵן
last,אַחֲרוֹן
better,לְשַׁפֵּר
everything,הַכֹּל
told,סיפר
mr.,מַר.
new,חָדָשׁ
things,דברים
always,תָמִיד
keep,לִשְׁמוֹר
long,אָרוֹך
years,שנים
leave,לַעֲזוֹב
does,עושה
money,כֶּסֶף
around,סְבִיב
doesn,לא
name,שֵׁם
place,מָקוֹם
ever,אֵיִ פַּעַם
feel,תְחוּשָׁה
guys,חבר'ה
father,אַבָּא
guy,בָּחוּר
made,עָשׂוּי
old,יָשָׁן
isn,איסנה
which,אֵיזֶה
big,גָדוֹל
lot,מִגרָשׁ
done,נַעֲשָׂה
hello,שלום
nice,נֶחְמָד
believe,לְהֶאֱמִין
girl,יַלדָה
someone,מִישֶׁהוּ
fine,עָדִין
thanks,תוֹדָה
wanted,רצה
kind,סוּג
coming,בִּיאָה
house,בַּיִת
every,כֹּל
ok,בְּסֵדֶר
through,בְּאֶמצָעוּת
being,יְצוּר
course,קוּרס
stay,שָׁהוּת
left,שְׁמֹאל
dad,אַבָּא
enough,מַסְפִּיק
happened,קרה
came,הגיע
may,מַאִי
mother,אִמָא
wrong,טָעוּת
world,עוֹלָם
bad,רַע
might,יָכוֹל
three,שְׁלוֹשָׁה
today,הַיוֹם
listen,לְהַקְשִׁיב
another,אַחֵר
understand,לִהַבִין
hear,לִשְׁמוֹעַ
remember,לִזכּוֹר
ask,לִשְׁאוֹל
own,שֶׁלוֹ
same,אוֹתוֹ
show,לְהַצִיג
else,אַחֵר
kill,לַהֲרוֹג
talking,שִׂיחָה
found,נמצא
next,הַבָּא
getting,מקבל
care,לְטַפֵּל
car,מְכוֹנִית
looking,מחפש
son,בֵּן
try,לְנַסוֹת
woman,אִשָׁה
went,הלך
hi,היי
dead,מֵת
many,רַבִּים
mind,דֵעָה
wasn,לא היה
friend,חבר
best,טוֹב בִּיוֹתֵר
mom,אִמָא
hell,גֵיהִנוֹם
morning,שַׁחַר
trying,מנסה
boy,יֶלֶד
together,יַחַד
yourself,עַצמְךָ
job,מִשׂרָה
saw,מַסוֹר
family,מִשׁפָּחָה
real,רִיאָל
without,לְלֹא
baby,תִינוֹק
room,חֶדֶר
wouldn,לא הייתי
already,כְּבָר
move,מַהֲלָך
most,רוֹב
seen,ראה
live,לִחיוֹת
miss,לְהַחמִיץ
actually,לְמַעֲשֶׂה
huh,הא
shit,לְחַרְבֵּן
both,שְׁנֵיהֶם
heard,נִשׁמָע
once,פַּעַם
ready,מוּכָן
head,רֹאשׁ
called,נִקרָא
used,מְשׁוּמָשׁ
idea,רַעְיוֹן
knew,ידע
hold,לְהַחזִיק
happy,שַׂמֵחַ
door,דֶלֶת
such,כָּזֶה
fuck,זִיוּן
brother,אָח
also,גַם
pretty,יָפֶה
bit,קצת
took,לקח
haven,מִקְלָט
yet,אוּלָם
men,אֲנָשִׁים
whole,כֹּל
start,הַתחָלָה
use,לְהִשְׁתַמֵשׁ
