you,Anda
i,Saya
the,itu
to,ke
a,A
‘s,'S
it,dia
and,Dan
that,itu
‘t,'T
of,dari
is,adalah
in,di dalam
what,Apa
we,Kami
me,Saya
this,ini
he,Dia
for,untuk
my,-ku
on,pada
have,memiliki
your,milikmu
do,Mengerjakan
was,adalah
‘m,'M
no,TIDAK
not,bukan
be,menjadi
are,adalah
don,mengenakan
‘re,'ulang
know,tahu
can,Bisa
with,dengan
but,Tetapi
all,semua
so,Jadi
just,hanya
there,di sana
here,Di Sini
they,mereka
like,menyukai
‘ll,'II
get,mendapatkan
she,dia
go,pergi
if,jika
right,Kanan
out,keluar
about,tentang
up,ke atas
at,pada
him,dia
now,Sekarang
oh,Oh
one,satu
come,datang
well,Sehat
her,dia
how,Bagaimana
yeah,Ya
‘ve,'ve
will,akan
got,telah mendapatkan
want,ingin
think,memikirkan
as,sebagai
see,melihat
did,telah melakukan
good,Bagus
who,WHO
why,Mengapa
from,dari
let,membiarkan
his,miliknya
yes,Ya
when,Kapan
going,pergi
time,waktu
an,sebuah
okay,Oke
back,kembali
look,Lihat
us,kita
would,akan
them,mereka
where,Di mana
were,adalah
take,mengambil
then,Kemudian
had,telah
or,atau
been,pernah
our,kita
gonna,akan
tell,memberi tahu
really,Sungguh
man,pria
some,beberapa
say,mengatakan
hey,Hai
could,bisa
‘d,'D
didn,tidak
by,oleh
need,membutuhkan
something,sesuatu
has,memiliki
too,juga
more,lagi
way,jalan
down,turun
make,membuat
very,sangat
never,tidak pernah
only,hanya
people,rakyat
over,lebih
because,Karena
little,kecil
please,Tolong
love,Cinta
should,sebaiknya
mean,berarti
said,dikatakan
sorry,Maaf
give,memberi
off,mati
am,pagi
thank,terima kasih
any,setiap
two,dua
even,bahkan
much,banyak
doing,sedang mengerjakan
sure,Tentu
thing,benda
these,ini
help,membantu
first,Pertama
into,ke dalam
anything,apa pun
still,tetap
find,menemukan
life,kehidupan
nothing,Tidak ada apa-apa
sir,Pak
day,hari
god,Tuhan
work,bekerja
their,milik mereka
uh,eh
again,lagi
maybe,Mungkin
must,harus
before,sebelum
other,lainnya
wait,Tunggu
stop,berhenti
call,panggilan
after,setelah
won,won
talk,bicara
away,jauh
than,dibandingkan
thought,pikiran
home,rumah
night,malam
put,meletakkan
great,Besar
those,itu
last,terakhir
better,lebih baik
everything,semuanya
told,diberi tahu
mr.,Tn.
new,baru
things,hal-hal
always,selalu
keep,menyimpan
long,panjang
years,bertahun-tahun
leave,meninggalkan
does,melakukan
money,uang
around,sekitar
doesn,tidak
name,nama
place,tempat
ever,pernah
feel,merasa
guys,Teman-teman
father,ayah
guy,pria
made,dibuat
old,tua
isn,bukan
which,yang
big,besar
lot,banyak
done,Selesai
hello,Halo
nice,Bagus
believe,meyakini
girl,gadis
someone,seseorang
fine,Bagus
thanks,terima kasih
wanted,diinginkan
kind,baik
coming,yang akan datang
house,rumah
every,setiap
ok,Oke
through,melalui
being,makhluk
course,kursus
stay,tinggal
left,kiri
dad,ayah
enough,cukup
happened,telah terjadi
came,telah datang
may,mungkin
mother,ibu
wrong,salah
world,dunia
bad,buruk
might,mungkin
three,tiga
today,Hari ini
listen,mendengarkan
another,lain
understand,memahami
hear,mendengar
remember,Ingat
ask,bertanya
own,memiliki
same,sama
show,menunjukkan
else,kalau tidak
kill,membunuh
talking,pembicaraan
found,ditemukan
next,Berikutnya
getting,mendapatkan
care,peduli
car,mobil
looking,melihat
son,putra
try,mencoba
woman,wanita
went,telah pergi
hi,Hai
dead,mati
many,banyak
mind,pikiran
wasn,bukan
friend,teman
best,terbaik
mom,Mama
hell,neraka
morning,Pagi
trying,mencoba
boy,anak laki-laki
together,bersama
yourself,dirimu sendiri
job,pekerjaan
saw,gergaji
family,keluarga
real,nyata
without,tanpa
baby,Sayang
room,ruang
wouldn,tidak akan
already,sudah
move,bergerak
most,paling
seen,terlihat
live,hidup
miss,merindukan
actually,Sebenarnya
huh,Hah
shit,kotoran
both,keduanya
heard,mendengar
once,sekali
ready,siap
head,kepala
called,ditelepon
used,digunakan
idea,ide
knew,tahu
hold,memegang
happy,senang
door,pintu
such,seperti
fuck,sialan
brother,saudara laki-laki
also,Juga
pretty,cantik
bit,sedikit
took,telah mengambil
haven,surga
yet,belum
men,pria
whole,utuh
start,awal
