you,Jij
i,i
the,de
to,naar
a,A
‘s,'S
it,Het
and,En
that,Dat
‘t,'T
of,van
is,is
in,in
what,Wat
we,Wij
me,mij
this,dit
he,Hij
for,voor
my,Mijn
on,op
have,hebben
your,jouw
do,Doen
was,was
‘m,'M
no,Nee
not,niet
be,zijn
are,Zijn
don,maffiabaas
‘re,'met betrekking tot
know,weten
can,kan
with,met
but,Maar
all,alle
so,Dus
just,zojuist
there,daar
here,hier
they,zij
like,leuk vinden
‘ll,‘ll
get,krijgen
she,zij
go,gaan
if,als
right,rechts
out,uit
about,over
up,omhoog
at,bij
him,hem
now,nu
oh,Oh
one,een
come,komen
well,Goed
her,haar
how,Hoe
yeah,Ja
‘ve,‘ve
will,zullen
got,gekregen
want,wil
think,denken
as,als
see,zien
did,deed
good,Goed
who,WHO
why,Waarom
from,van
let,laten
his,zijn
yes,Ja
when,wanneer
going,gaan
time,tijd
an,een
okay,Oké
back,rug
look,Look
us,ons
would,zou
them,hen
where,waar
were,waren
take,nemen
then,Dan
had,had
or,of
been,geweest
our,ons
gonna,gaan
tell,vertellen
really,Echt
man,man
some,sommige
say,inspraak
hey,Hoi
could,zou kunnen
‘d,'D
didn,niet
by,door
need,behoefte
something,iets
has,heeft
too,te
more,meer
way,manier
down,omlaag
make,maken
very,erg
never,nooit
only,alleen
people,mensen
over,over
because,omdat
little,klein
please,Alsjeblieft
love,Liefde
should,zou moeten
mean,gemeen
said,gezegd
sorry,Sorry
give,geven
off,uit
am,ben
thank,dank
any,elk
two,twee
even,zelfs
much,veel
doing,doen
sure,Zeker
thing,ding
these,deze
help,hulp
first,Eerst
into,naar binnen
anything,iets
still,nog steeds
find,vinden
life,leven
nothing,Niets
sir,meneer
day,dag
god,god
work,werk
their,hun
uh,uh
again,opnieuw
maybe,misschien
must,moeten
before,voor
other,ander
wait,wachten
stop,stop
call,telefoongesprek
after,na
won,won
talk,gesprek
away,weg
than,dan
thought,gedachte
home,thuis
night,nacht
put,neerzetten
great,Geweldig
those,die
last,laatst
better,beter
everything,alles
told,vertelde
mr.,meneer
new,nieuw
things,dingen
always,altijd
keep,houden
long,lang
years,jaren
leave,vertrekken
does,doet
money,geld
around,rondom
doesn,niet
name,naam
place,plaats
ever,ooit
feel,gevoel
guys,jongens
father,vader
guy,jongen
made,gemaakt
old,oud
isn,is
which,welke
big,groot
lot,kavel
done,klaar
