11 Downing Street,唐寧街11
$20 is $20,20 美元 等於 20 美元
'ark at 'ee,船
'fess up,坦白
'fraid not,恐怕不行
'fraid so,恐怕
'nuff said,夠了
'til next time,下次見
'til the cows come home,直到牛回來
'til we meet again,再見
'tis the season,現在是節日
10 points to Gryffindor,給格里芬隊 10 分
110 proof,110度酒精濃度
11th commandment,第十一條誡
12-ounce curls,12盎司捲髮
13th reason why,第十三個原因
15 minutes of fame,一陣子名氣
20 bucks is 20 bucks,20 美元就是 20 美元
20 dollars is 20 dollars,20 美元是 20 美元
20 whole dollars,20 美元
20% cooler,更涼 20%
23 skidoo,離開
23 Skidoo Street,23 斯基杜街
800-pound gorilla,超級強大的力量
a bad penny always comes back,壞錢總是會回來
a bad penny always turns up,壞錢總是會出現
a balancing act,微妙的平衡
a barking dog never bites,狗不會一直吠，所以不會咬人
a barking dog seldom bites,吠叫的狗很少咬人
a big ask,很大的要求
a big mouth,大嘴
a bird in the hand,一鳥在手
a boon and a bane,福與禍
a breath of fresh air,一股新鮮空氣
a bridge too far,過於雄心
a buck is a buck,無論是
a buck's a buck,一隻鹿就是一隻鹿
a bumpy ride,充滿波瀾的旅程
a burnt child dreads the fire,曾經被燙過的孩童，會害怕火
a calorie is a calorie,卡路里就是卡路里
a case in point,一個典型的例子
a cash cow,賺錢的工具
a change of heart,改變心意
a cigar is a cigar,香菸就是香菸
a cigar is just a cigar,香菸只是香菸
a closed mouth catches no flies,閉嘴不招蚊蟲
a closed mouth doesn't get fed,閉嘴不吃飯
a closed mouth gathers no feet,閉嘴不招惹麻煩
a cold day in July,七月的寒冷日子
a creaking door hangs longest,吱嘎作響的門會持續更久
a cut above,更勝一籌
a cut above the rest,其他眾多產品中脫穎而出的
a danger foreseen is half avoided,預見的危險，一半已經避免
a dark horse,潛在的黑馬
a dead end,無路可走
a deal is a deal,協議是協議
a dime a dozen,非常常見
a fact of life,生活的事實
a far remove,遠遠的
a fault confessed is half redressed,坦白承認錯誤，就能解決一半問題
a fine line,微妙的界限
a fool and his money,笨蛋和他的錢
A for effort,不錯
a frame of mind,心態
a free agent,自由球員
a full-time job,全職工作
a game plan,遊戲計畫
a good bet,不錯的選擇
a good deal,不錯的交易
a gray area,灰色地帶
a great deal,大量的
a grey area,灰色地帶
a gut feeling,直覺
a head start,先發優勢
a hen night,新娘前夜
a hen party,新娘派對
a high profile,備受矚目
a hit dog hollers,狗有理
a hit dog will holler,有恃無恐的狗會大聲叫
a horse apiece,每匹一隻
a house is not a home,房子不是家
a hundred and ten percent,一百一十百分
a into g,a 變成 g
a juggling act,複雜的安排
a la,依照
a laughing stock,笑柄
a leading light,領先者
a leopard can't change its spots,老虎不可能改變牠的本性
a leopard cannot change its spots,老虎不可能改變牠的本性
a level playing field,公平競爭的環境
a lie has no legs,謊言沒有腳
