you,Ty
i,I
the,ten
to,Do
a,A
‘s,'S
it,To
and,I
that,To
‘t,'T
of,z
is,Jest
in,W
what,Co
we,My
me,Ja
this,Ten
he,On
for,Do
my,Mój
on,NA
have,Posiadać
your,twój
do,Do
was,był
‘m,'M
no,NIE
not,nie
be,Być
are,Czy
don,przywdziewać
‘re,'Odnośnie
know,wiedzieć
can,Móc
with,z
but,Ale
all,Wszystko
so,Więc
just,Tylko
there,Tam
here,Tutaj
they,Oni
like,tak jak
‘ll,'ll
get,Dostawać
she,ona
go,Iść
if,Jeśli
right,Prawidłowy
out,na zewnątrz
about,o
up,w górę
at,Na
him,jego
now,Teraz
oh,Oh
one,jeden
come,przychodzić
well,Dobrze
her,jej
how,Jak
yeah,Tak
‘ve,mieć
will,będzie
got,dostałem
want,chcieć
think,myśleć
as,Jak
see,Widzieć
did,zrobił
good,Dobry
who,Kto
why,Dlaczego
from,z
let,pozwalać
his,jego
yes,Tak
when,Kiedy
going,pójście
time,czas
an,jakiś
okay,Dobra
back,z powrotem
look,Patrzeć
us,nas
would,zrobiłbym
them,ich
where,Gdzie
were,był
take,Brać
then,Następnie
had,miał
or,Lub
been,został
our,nasz
gonna,zamierzać
tell,powiedzieć
really,Naprawdę
man,Człowiek
some,Niektóre
say,mowić
hey,Hej
could,mógł
‘d,'D
didn,nie
by,przez
need,potrzebować
something,coś
has,ma
too,zbyt
more,więcej
way,sposób
down,w dół
make,robić
very,bardzo
never,nigdy
only,tylko
people,ludzie
over,nad
because,ponieważ
little,mały
please,Proszę
love,Miłość
should,powinien
mean,mieć na myśli
said,powiedział
sorry,Przepraszam
give,dawać
off,wyłączony
am,jestem
thank,dziękować
any,każdy
two,dwa
even,nawet
much,dużo
doing,czyn
sure,Jasne
thing,rzecz
these,te
help,pomoc
first,Pierwszy
into,do
anything,wszystko
still,Nadal
find,znajdować
life,życie
nothing,Nic
sir,pan
day,dzień
god,Bóg
work,praca
their,ich
uh,uh
again,Ponownie
maybe,Może
must,musieć
before,zanim
other,Inny
wait,Czekać
stop,zatrzymywać się
call,dzwonić
after,Po
won,wygrał
talk,rozmawiać
away,z dala
than,niż
thought,myśl
home,dom
night,noc
put,umieścić
great,Świetnie
those,te
last,ostatni
better,lepsza
everything,wszystko
told,powiedział
mr.,Pan.
new,nowy
things,rzeczy
always,zawsze
keep,trzymać
long,długi
years,lat
leave,Zostawić
does,robi
money,pieniądze
around,wokół
doesn,nie robi
name,nazwa
place,miejsce
ever,kiedykolwiek
feel,czuć
guys,Chłopaki
father,ojciec
guy,facet
made,zrobiony
old,stary
isn,nie jest
which,Który
big,duży
lot,działka
done,zrobione
hello,Witam
nice,Ładny
believe,uważać
girl,dziewczyna
someone,ktoś
fine,Cienki
thanks,Dzięki
wanted,poszukiwany
kind,Uprzejmy
coming,nadchodzący
house,dom
every,każdy
ok,OK
through,Poprzez
being,istnienie
course,kurs
stay,zostawać
left,lewy
dad,tata
enough,wystarczająco
happened,wydarzyło się
came,wszedł
may,móc
mother,matka
wrong,zło
world,świat
bad,zły
might,móc
three,trzy
today,Dzisiaj
listen,Słuchać
another,inny
understand,zrozumieć
hear,słyszeć
remember,Pamiętać
ask,zapytać
own,własny
same,To samo
show,pokazywać
else,w przeciwnym razie
kill,zabić
talking,rozmawiając
found,znaleziony
next,Następny
getting,dostawanie
care,pielęgnacja
car,samochód
looking,patrząc
son,syn
try,próbować
woman,kobieta
went,wszedł
hi,Cześć
dead,martwy
many,wiele
mind,umysł
wasn,nie było
friend,przyjaciel
best,to， co najlepsze
mom,mama
hell,piekło
morning,Poranek
trying,męczący
boy,chłopiec
together,razem
yourself,się
job,stanowisko
saw,piła
family,rodzina
real,prawdziwy
without,bez
baby,Dziecko
room,pokój
wouldn,nie
already,już
move,przenosić
most,bardzo
seen,widziany
live,na żywo
miss,chybić
actually,Właściwie
huh,co?
shit,gówno
both,Zarówno
heard,usłyszał
once,raz
ready,gotowy
head,głowa
called,zwany
used,używany
idea,pomysł
knew,wiedział
hold,trzymać
happy,szczęśliwy
door,drzwi
such,taki
fuck,pierdolić
brother,brat
also,Również
pretty,ładny
bit,fragment
took,wziął
haven,przystań
yet,już
men,mężczyźni
whole,cały
start,start
use,używać
while,chwila
since,od
wife,żona
days,dni
guess,zgadywać
tomorrow,jutro
matter,materiał
meet,poznać
bring,przynieść
tonight,dziś wieczorem
everyone,wszyscy
run,uruchomić
wanna,chcieć
hard,twardy
ah,ach
alone,sam
myself,ja
school,szkoła
gone,stracony
um,hm
end,koniec
saying,powiedzenie
phone,telefon
play,grać
looks,wygląda
couldn,nie mógł
fucking,pierdolony
problem,problem
few,kilka
friends,przyjaciele
gotta,muszę
ago,temu
open,Otwarte
anyone,ktokolwiek
killed,zabity
hope,mieć nadzieję
face,twarz
until,dopóki
lost,zaginiony
police,Policja
excuse,wymówka
turn,zakręt
business,biznes
case,sprawa
wants,chce
says,mówi
true,PRAWDA
die,umierać
heart,serce
soon,Wkrótce
each,każdy
worry,martwić się
later,później
year,rok
watch,oglądać
music,muzyka
hand,ręka
having,mający
probably,prawdopodobnie
beautiful,Piękny
doctor,lekarz
sit,siedzieć
eat,jeść
thinking,myślący
young,młody
second,drugi
working,pracujący
water,woda
person,osoba
part,część
kids,dzieci
late,późno
stuff,rzeczy
exactly,Dokładnie
under,pod
death,śmierć
minute,chwila
pay,płacić
crazy,zwariowany
forget,zapominać
everybody,wszyscy
kid,dziecko
change,zmiana
gave,dał
happen,stać się
damn,Cholera
five,pięć
drink,drink
far,daleko
knows,wie
its,jego
whatever,cokolwiek
eyes,oczy
shut,zamknąć
aren,arena
hit,uderzyć
taking,nabierający
easy,łatwy
times,czasy
check,sprawdzać
hands,siła robocza
minutes,protokół
deal,umowa
different,różny
means,oznacza
point,punkt
inside,wewnątrz
makes,sprawia
asked,zapytał
somebody,ktoś
mine,kopalnia
making,zrobienie
body,ciało
afraid,przestraszony
sleep,spać
chance,szansa
dear,Drogi
quite,całkiem
four,cztery
anyway,W każdym razie
close,zamknąć
ain,ain
party,impreza
fun,zabawa
against,przeciwko
word,słowo
comes,komes
important,ważny
set,ustawić
shall,być
story,historia
number,numer
daughter,córka
least,najmniej
waiting,czekanie
hurt,zraniony
wish,życzenie
moment,moment
fight,walka
week,tydzień
husband,mąż
girls,dziewczyny
rest,odpoczynek
married,żonaty
fire,ogień
game,gra
nobody,nikt
mr,Pan
children,dzieci
side,strona
stand,podstawka
read,Czytać
though,chociaż
cut,cięcie
started,zaczął
sister,siostra
supposed,przypuszczalny
between,między
child,dziecko
goes,wchodzi
hours,godziny
speak,mówić
women,kobiety
behind,za
almost,prawie
truth,prawda
blood,krew
able,zdolny
lady,dama
anymore,nie więcej
playing,gra
gets,dostaje
shot,strzał
reason,powód
trouble,kłopoty
break,przerwa
war,wojna
city,miasto
walk,chodzić
town,miasto
trust,zaufanie
dr.,doktor
met,spotkał
office,biuro
question,pytanie
brought,przyniósł
yours,twój
welcome,Witamy
high,wysoki
wow,Wow
couple,para
half,połowa
died,zmarł
cool,Fajny
free,bezpłatny
either,albo
seems,wydaje się
power,moc
whoa,kurczę
bye,do widzenia
buy,kupić
telling,wymowny
honey,Miód
tried,wypróbowany
front,przód
team,zespół
answer,odpowiedź
gun,pistolet
boys,chłopcy
line,linia
send,wysłać
news,aktualności
stupid,głupi
bed,łóżko
hurry,spieszyć się
full,pełny
months,miesiące
save,ratować
sometimes,Czasami
become,stać się
along,przed siebie
