you,tu
i,Eu
the,o
to,para
a,um
‘s,'s
it,isto
and,e
that,isso
‘t,‘t
of,de
is,é
in,em
what,o quê
we,nós
me,eu
this,isto
he,ele
for,para
my,meu
on,em
have,temos
your,teu
do,fazer
was,era
‘m,‘m
no,Não
not,não
be,ser
are,são
don,vestir
‘re,'ré
know,saber
can,lata
with,com
but,mas
all,tudo
so,então
just,justo
there,ali
here,aqui
they,eles
like,gosto
‘ll,'Vai'
get,obter
she,ela
go,ir
if,se
right,certo
out,fora
about,sobre
up,para cima
at,em
him,ele
now,agora
oh,Oh
one,um
come,vem
well,Bem
her,ela
how,como
yeah,Sim
‘ve,‘ve
will,vontade
got,ter
want,querer
think,pensar
as,como
see,ver
did,fez
good,bom
who,quem
why,porquê
from,de
let,deixar
his,dele
yes,Sim
when,quando
going,ida
time,hora
an,um
okay,ok
back,costas
look,olhar
us,nós
would,seria
them,eles
where,onde
were,eram
take,tomar
then,depois
had,teve
or,ou
been,esteve
our,nosso
gonna,vou
tell,dizer
really,mesmo
man,homem
some,algum
say,dizer
hey,Olá
could,poderia
‘d,‘d
didn,não
by,por
need,necessidade
something,algo
has,tem
too,demasiado
more,mais
way,via
down,para baixo
make,fazer
very,muito
never,nunca
only,apenas
people,pessoas
over,sobre
because,porque
little,pequeno
please,por favor
love,amor
should,dever
mean,significar
said,disse
sorry,Desculpa
give,dar
off,desligado
am,sou
thank,agradecer
any,qualquer
two,dois
even,igual
much,muito
doing,obra
sure,claro
thing,coisa
these,estes
help,ajuda
first,primeiro
into,em
anything,qualquer coisa
still,continuar
find,encontrar
life,vida
nothing,nada
sir,Senhor
day,dia
god,deus
work,trabalho
their,deles
uh,uh
again,novamente
maybe,talvez
must,obrigação
before,antes
other,outro
wait,espera
stop,parar
call,chamada
after,depois
won,ganho
talk,palestra
away,ausente
than,do que
thought,pensamento
home,casa
night,noite
put,pôr
great,excelente
those,aqueles
last,último
better,melhor
everything,tudo
told,disse
mr.,senhor.
new,novo
things,coisas
always,sempre
keep,manter
long,longo
years,anos
leave,ausência
does,faz
money,dinheiro
around,aproximadamente
doesn,não
name,nome
place,local
ever,de sempre
feel,sentir
guys,malta
father,pai
guy,tipo
made,feito
old,velho
isn,não é
which,o qual
big,grande
lot,muito
done,concluído
hello,Olá
nice,agradável
believe,acreditar
girl,rapariga
someone,alguém
fine,bom
thanks,obrigado
wanted,procurado
kind,amabilidade
coming,vir
house,casa
every,cada
ok,ok
through,através
being,ser
course,curso
stay,estadia
left,esquerda
dad,pai
enough,suficiente
happened,aconteceu
came,veio
may,maio
mother,mãe
wrong,errado
world,mundo
bad,mau
might,poderia
three,três
today,hoje
listen,escutar
another,outro
understand,compreender
hear,ouvir
remember,lembrar-se
ask,perguntar
own,próprio
same,mesmo
show,espetáculo
else,de outro modo
kill,morte
talking,conversando
found,encontrado
next,seguinte
getting,obtenção
care,cuidados
car,carro
looking,olhando
son,filho
try,tentar
woman,mulher
went,foi
hi,Olá
dead,morto
many,muitos
mind,mente
wasn,não
friend,amigo
best,melhor
mom,mãe
hell,inferno
morning,manhã
trying,tentando
boy,rapaz
together,juntos
yourself,tu próprio
job,trabalho
saw,visto
family,família
real,real
without,sem
baby,bebé
room,quarto
wouldn,não
already,já
move,mover
most,a maioria de
seen,visto
live,vivo
miss,faltar
actually,na verdade
huh,hã
shit,merda
both,ambos
heard,ouvido
once,uma vez
ready,pronto
head,cabeça
called,chamado
used,usado
idea,ideia
knew,sabia
hold,segurar
happy,feliz
door,porta
such,tal
fuck,Porra
brother,irmão
also,também
pretty,bonita
bit,pedaço
took,tomar
haven,refúgio
yet,ainda
men,homens
whole,inteiro
