you,du
i,jag
the,de
to,till
a,en
‘s,'s
it,det
and,och
that,att
‘t,inte
of,av
is,är
in,i
what,vad
we,vi
me,mig
this,detta
he,han
for,för
my,min
on,på
have,ha
your,din
do,do
was,var
‘m,jag
no,inga
not,inte
be,vara
are,är
don,göra
‘re,'re
know,veta
can,burk
with,med
but,men
all,alla
so,så
just,precis
there,det
here,här
they,de
like,som
‘ll,kommer
get,få
she,hon
go,gå
if,om
right,rätt
out,ut
about,om
up,upp
at,på
him,honom
now,nu
oh,åh
one,en
come,komma
well,väl
her,hennes
how,hur
yeah,ja
‘ve,har
will,vilja
got,fick
want,brist
think,tänka
as,som
see,se
did,gjorde
good,bra
who,WHO
why,varför
from,från
let,låta
his,hans
yes,ja
when,när
going,gående
time,tid
an,en
okay,okej
back,tillbaka
look,titt
us,oss
would,skulle
them,dem
where,där
were,var
take,ta
then,sedan
had,hade
or,eller
been,varit
our,vår
gonna,ska
tell,berätta
really,verkligen
man,man
some,några
say,säga
hey,Hej
could,kunde
‘d,'d
didn,gjorde inte
by,av
need,behov
something,något
has,har
too,för
more,mer
way,sätt
down,ner
make,göra
very,mycket
never,aldrig
only,endast
people,personer
over,över
because,därför att
little,liten
please,behaga
love,kärlek
should,skall
mean,betyda
said,sa
sorry,ledsen
give,ge
off,av
am,är
thank,tacka
any,några
two,två
even,även
much,mycket
doing,gör
sure,säker
thing,sak
these,dessa
help,hjälp
first,första
into,till
anything,något
still,fortfarande
find,hitta
life,liv
nothing,ingenting
sir,sir
day,dag
god,gud
work,arbete
their,deras
uh,öh
again,igen
maybe,kanske
must,måste
before,före
other,andra
wait,vänta
stop,stopp
call,samtal
after,efter
won,won
talk,prata
away,bort
than,än
thought,tanke
home,hem
night,natt
put,sätta
great,stor
those,dessa
last,sista
better,bättre
everything,allt
told,berättade
mr.,herr.
new,ny
things,saker
always,alltid
keep,hålla
long,lång
years,år
leave,lämna
does,gör
money,pengar
around,runt
doesn,gör inte
name,namn
place,plats
ever,någonsin
feel,känsla
guys,killar
father,far
guy,kille
made,gjord
old,gammal
isn,är inte
which,som
big,stor
lot,massa
done,gjort
hello,Hej
nice,trevlig
believe,tro
girl,flicka
someone,någon
fine,bra
thanks,tack
wanted,ville
kind,slag
coming,kommande
house,hus
every,varje
ok,ok
through,genom
being,varelse
course,kurs
stay,vistelse
left,vänster
dad,pappa
enough,tillräckligt
happened,hände
came,kom
may,maj
mother,mor
wrong,fel
world,värld
bad,dålig
might,makt
three,tre
today,i dag
listen,lyssna
another,en annan
understand,förstå
hear,höra
remember,komma ihåg
ask,be
own,egen
same,samma
show,visa
else,annan
kill,döda
talking,talande
found,hittade
next,nästa
getting,få
care,vård
car,bil
looking,tittar
son,son
try,försök
woman,kvinna
went,gick
hi,Hej
dead,död
many,många
mind,sinne
wasn,var inte
friend,vän
best,bäst
mom,mamma
hell,helvete
morning,morgon
trying,påfrestande
boy,pojke
together,tillsammans
yourself,själv
job,jobb
saw,såg
family,familj
real,verklig
without,utan
baby,baby
room,rum
wouldn,skulle inte
already,redan
move,flytta
most,mest
seen,sett
live,bo
miss,miss
actually,faktiskt
huh,va
shit,skit
both,både
heard,hört
once,en gång
ready,redo
head,huvud
called,kallad
used,begagnad
idea,aning
knew,visste
hold,hålla
happy,glad
door,dörr
such,sådan
fuck,knulla
brother,bror
also,också
pretty,ganska
bit,bit
took,tog
haven,hamn
yet,ännu
men,män
whole,hela
start,start
use,använda
while,medan
since,sedan
wife,fru
days,dagar
guess,gissning
tomorrow,i morgon
matter,materia
meet,möta
bring,föra
tonight,i kväll
everyone,alla
run,sikt
wanna,vill
hard,hård
ah,ah
alone,ensam
myself,själv
school,skola
gone,borta
um,um
end,avsluta
saying,säger
phone,telefon
play,spela
looks,utseende
couldn,kunde inte
fucking,jävla
problem,problem
few,få
friends,vänner
gotta,måste
ago,sedan
open,öppna
anyone,någon
killed,dödad
hope,hoppas
face,ansikte
until,tills
lost,förlorad
police,polis
excuse,ursäkt
turn,sväng
business,företag
case,fall
wants,vill ha
says,säger
true,sann
die,dö
heart,hjärta
soon,snart
each,varje
worry,oroa
later,senare
year,år
watch,titta
music,musik
hand,hand
having,ha
probably,troligen
beautiful,vacker
doctor,läkare
sit,sitta
eat,äta
thinking,tänkande
young,ung
second,andra
working,arbetssätt
water,vatten
person,person
part,del
kids,barn
late,sent
stuff,stoppa
exactly,exakt
under,under
death,död
minute,minut
pay,betala
crazy,galen
forget,glömma
everybody,alla
kid,unge
change,ändra
gave,gav
happen,hända
damn,jäkla
five,fem
drink,dryck
far,långt
knows,vet
its,dess
whatever,vad som helst
eyes,ögon
shut,stänga
aren,aren
hit,hit
taking,tagande
easy,lätt
times,gånger
check,kontrollera
hands,händer
minutes,minuter
deal,handla
different,olik
means,medel
point,punkt
inside,inuti
makes,gör
asked,frågade
somebody,någon
mine,mina
making,tillverkning
body,kropp
afraid,rädd
sleep,sova
chance,chans
dear,kär
quite,ganska
four,fyra
anyway,i alla fall
close,nära
ain,ain
party,part
fun,gyckel
against,mot
word,ord
comes,kommer
important,viktig
set,uppsättning
shall,skall
story,berättelse
number,antal
daughter,dotter
least,minst
waiting,väntan
hurt,skada
wish,önskan
moment,ögonblick
fight,bekämpa
week,vecka
husband,man
girls,flickor
rest,vila
married,gift
fire,brand
game,spel
nobody,ingen
mr,herr
children,barn
side,sida
stand,stå
read,läsa
though,fast
cut,skära
started,började
sister,syster
supposed,förment
between,mellan
child,barn
goes,går
hours,timmar
speak,tala
women,kvinnor
behind,bakom
almost,nästan
truth,sanning
blood,blod
able,kapabel
