you,awak
i,saya
the,yang
to,kepada
a,seorang
‘s,'s
it,ia
and,dan
that,itu
‘t,tidak
of,daripada
is,ialah
in,dalam
what,apa
we,kami
me,saya
this,ini
he,dia
for,untuk
my,saya
on,pada
have,mempunyai
your,awak
do,lakukan
was,adalah
‘m,saya
no,tidak
not,tidak
be,menjadi
are,adalah
don,jangan
‘re,semula
know,tahu
can,boleh
with,dengan
but,tetapi
all,semua
so,jadi
just,hanya
there,di sana
here,di sini
they,mereka
like,seperti
‘ll,akan
get,dapatkan
she,dia
go,pergi
if,jika
right,betul
out,keluar
about,tentang
up,naik
at,pada
him,dia
now,sekarang
oh,oh
one,satu
come,datang
well,baik
her,dia
how,bagaimana
yeah,ya
‘ve,telah
will,akan
got,mendapat
want,mahu
think,berfikir
as,sebagai
see,lihat
did,melakukan
good,baik
who,WHO
why,kenapa
from,dari
let,biarkan
his,miliknya
yes,ya
when,bila
going,pergi
time,masa
an,seorang
okay,okey
back,belakang
look,lihat
us,kami
would,akan
them,mereka
where,di mana
were,adalah
take,ambil
then,kemudian
had,mempunyai
or,atau
been,telah
our,kami
gonna,akan
tell,beritahu
really,sungguh
man,lelaki
some,beberapa
say,katakan
hey,hei
could,boleh
‘d,'d
didn,tidak
by,oleh
need,perlu
something,sesuatu
has,mempunyai
too,juga
more,lebih banyak
way,cara
down,turun
make,buat
very,sangat
never,tidak pernah
only,sahaja
people,orang
over,lebih
because,kerana
little,kecil
please,sila
love,cinta
should,sepatutnya
mean,kejam
said,berkata
sorry,maaf
give,memberi
off,mati
am,pagi
thank,terima kasih
any,mana-mana
two,dua
even,walaupun
much,banyak
doing,melakukan
sure,pasti
thing,benda
these,ini
help,bantuan
first,pertama
into,ke dalam
anything,apa-apa sahaja
still,masih
find,cari
life,kehidupan
nothing,tiada apa-apa
sir,tuan
day,hari
god,tuhan
work,kerja
their,mereka
uh,eh
again,sekali lagi
maybe,mungkin
must,mesti
before,sebelum
other,lain
wait,tunggu
stop,berhenti
call,panggilan
after,selepas
won,menang
talk,bercakap
away,pergi
than,daripada
thought,pemikiran
home,rumah
night,malam
put,letakkan
great,hebat
those,mereka
last,terakhir
better,lebih baik
everything,semuanya
told,diberitahu
mr.,encik
new,baru
things,benda-benda
always,sentiasa
keep,simpan
long,panjang
years,tahun
leave,pergi
does,adakah
money,wang
around,sekitar
doesn,tidak
name,nama
place,tempat
ever,pernah
feel,rasa
guys,lelaki
father,bapa
guy,lelaki
made,dibuat
old,lama
isn,bukan
which,yang mana
big,besar
lot,banyak
done,selesai
hello,hello
nice,bagus
believe,percaya
girl,gadis
someone,seseorang
fine,denda
thanks,terima kasih
wanted,dikehendaki
kind,jenis
coming,akan datang
house,rumah
every,setiap
ok,okey
through,melalui
being,makhluk
course,kursus
stay,tinggal
left,kiri
dad,ayah
enough,cukup
happened,berlaku
came,datang
may,mungkin
mother,ibu
wrong,salah
world,dunia
bad,teruk
might,mungkin
three,tiga
today,hari ini
listen,dengar
another,yang lain
understand,faham
hear,dengar
remember,ingat
ask,tanya
own,sendiri
same,sama
show,tunjukkan
else,lain
kill,membunuh
talking,bercakap
found,dijumpai
next,seterusnya
getting,mendapatkan
care,penjagaan
car,kereta
looking,mencari
son,anak lelaki
try,cuba
woman,wanita
went,pergi
hi,hai
dead,mati
many,banyak
mind,minda
wasn,bukan
friend,kawan
best,terbaik
mom,ibu
hell,neraka
morning,pagi
trying,mencuba
boy,budak lelaki
together,bersama-sama
yourself,diri anda
job,pekerjaan
saw,gergaji
family,keluarga
real,sebenar
without,tanpa
baby,bayi
room,bilik
wouldn,tidak akan
already,sudah
move,bergerak
most,kebanyakan
seen,dilihat
live,hidup
miss,terlepas
actually,sebenarnya
huh,hah
shit,najis
both,kedua-duanya
heard,didengar
once,sekali
ready,sedia
head,kepala
called,dipanggil
used,digunakan
idea,idea
knew,tahu
hold,memegang
happy,gembira
door,pintu
such,sedemikian
fuck,seks
brother,abang
also,juga
pretty,cantik
bit,sedikit
took,mengambil
haven,tempat perlindungan
yet,lagi
men,lelaki
whole,keseluruhan
start,mula
use,guna
while,sementara
since,sejak
wife,isteri
days,hari
guess,meneka
tomorrow,esok
matter,perkara
meet,bertemu
bring,bawa
tonight,malam ini
everyone,semua orang
run,berlari
wanna,mahu
hard,keras
ah,aduh
alone,bersendirian
myself,diri saya sendiri
school,sekolah
gone,hilang
um,erm
end,akhir
saying,berkata
phone,telefon
play,bermain
looks,kelihatan
couldn,tidak boleh
fucking,seks / persetubuhan
problem,masalah
few,sedikit
friends,kawan-kawan
gotta,perlu
ago,yang lalu
open,buka
anyone,sesiapa sahaja
killed,dibunuh
hope,harapan
face,muka
until,sehingga
lost,hilang
police,polis
excuse,alasan
turn,pusing
business,perniagaan
case,kes
wants,mahu
says,berkata
true,benar
die,mati
heart,jantung
soon,tidak lama lagi
each,setiap satu
worry,bimbang
later,kemudian
year,tahun
watch,jam tangan
music,muzik
hand,tangan
having,mempunyai
probably,mungkin
beautiful,cantik
doctor,doktor
sit,duduk
eat,makan
thinking,berfikir
young,muda
second,kedua
working,bekerja
water,air
person,orang
part,bahagian
kids,kanak-kanak
late,lewat
stuff,barang
exactly,betul-betul
under,di bawah
death,kematian
minute,minit
pay,bayar
crazy,gila
forget,lupa
everybody,semua orang
kid,kanak-kanak
change,perubahan
gave,memberi
happen,berlaku
damn,sial
five,lima
drink,minum
far,jauh
knows,tahu
its,itu
whatever,apa sahaja
eyes,mata
shut,tutup
aren,aren
hit,pukul
taking,mengambil
easy,mudah
times,kali
check,cek
hands,tangan
minutes,minit
deal,perjanjian
different,berbeza
means,bermaksud
point,titik
inside,di dalam
makes,membuat
asked,bertanya
somebody,seseorang
mine,lombong
making,membuat
body,badan
afraid,takut
sleep,tidur
chance,peluang
dear,sayang
quite,agak
four,empat
anyway,walau apa pun
close,tutup
ain,ain
party,pesta
fun,keseronokan
against,terhadap
word,perkataan
comes,datang
important,penting
set,tetapkan
shall,hendaklah
story,cerita
number,nombor
daughter,anak perempuan
least,paling sedikit
waiting,menunggu
hurt,sakit
wish,keinginan
moment,saat
fight,bergaduh
week,minggu
husband,suami
girls,perempuan
rest,rehat
married,berkahwin
fire,api
game,permainan
nobody,tiada siapa
mr,Encik
children,kanak-kanak
side,sisi
stand,berdiri
read,baca
though,walaupun
cut,potong
started,bermula
sister,kakak
supposed,sepatutnya
between,antara
child,kanak-kanak
goes,pergi
hours,jam
speak,bercakap
women,wanita
behind,di belakang
almost,hampir
truth,kebenaran
blood,darah
able,mampu
lady,wanita
anymore,lagi
playing,bermain
gets,mendapat
shot,tembakan
reason,sebab
trouble,masalah
break,rehat
war,perang
city,bandar
walk,berjalan kaki
town,bandar
trust,kepercayaan
dr.,Dr.
met,bertemu
office,pejabat
question,soalan
brought,dibawa
yours,milik anda
welcome,selamat datang
high,tinggi
