you,Sen
i,Ben
the,o
to,ile
a,A
‘s,'S
it,BT
and,Ve
that,O
‘t,'T
of,ile ilgili
is,dır
in,içinde
what,Ne
we,Biz
me,Ben
this,Bu
he,O
for,için
my,Benim
on,Açık
have,sahip olmak
your,senin
do,Yapmak
was,idi
‘m,'M
no,HAYIR
not,Olumsuz
be,olmak
are,'dır'
don,giymek
‘re,'tekrar
know,Bilmek
can,olabilmek
with,ile
but,Ancak
all,Tümü
so,Bu yüzden
just,Sadece
there,Orası
here,Burada
they,Onlar
like,beğenmek
‘ll,'LL
get,elde etmek
she,o
go,Gitmek
if,eğer
right,Sağ
out,dışarı
about,hakkında
up,yukarı
at,de
him,o
now,Şimdi
oh,ah
one,bir
come,Gelmek
well,Peki
her,o
how,Nasıl
yeah,Evet
‘ve,ve
will,irade
got,aldı
want,istek
think,düşünmek
as,gibi
see,Görmek
did,yaptı
good,iyi
who,DSÖ
why,Neden
from,itibaren
let,izin vermek
his,onun
yes,Evet
when,Ne zaman
going,giden
time,zaman
an,BİR
okay,Tamam
back,geri
look,Bakmak
us,biz
would,istemek
them,onlara
where,Neresi
were,idiler
take,almak
then,Daha sonra
had,vardı
or,veya
been,olmuş
our,bizim
gonna,olacak
tell,söylemek
really,Gerçekten
man,Adam
some,bazı
say,söylemek
hey,Hey
could,olabilir
‘d,'D
didn,yapmadı
by,ile
need,ihtiyaç
something,bir şey
has,sahip olmak
too,fazla
more,Daha
way,yol
down,aşağı
make,yapmak
very,çok
never,Asla
only,sadece
people,insanlar
over,üzerinde
because,Çünkü
little,biraz
please,Lütfen
love,Aşk
should,olmalı
mean,Anlam
said,söz konusu
sorry,Üzgünüm
give,vermek
off,kapalı
am,am
thank,teşekkür etmek
any,herhangi
two,iki
even,eşit
much,fazla
doing,yapmak
sure,Elbette
thing,şey
these,bunlar
help,yardım
first,Birinci
into,içine
anything,herhangi bir şey
still,Hala
find,bulmak
life,hayat
nothing,Hiçbir şey
sir,Sayın
day,gün
god,Tanrı
work,iş
their,onların
uh,uh
again,Tekrar
maybe,Belki
must,mutlak
before,önce
other,diğer
wait,Beklemek
stop,durmak
call,Arama
after,sonrasında
won,kazanmak
talk,konuşmak
away,uzak
than,hariç
thought,düşünce
home,Ev
night,gece
put,koymak
great,Harika
those,onlar
last,son
better,daha iyi
everything,her şey
told,söylenmiş
mr.,Bay
new,yeni
things,şeyler
always,Her zaman
keep,kale
long,uzun
years,yıllar
leave,ayrılmak
does,yapmak
money,para
around,etrafında
doesn,yapmaz
name,isim
place,yer
ever,durmadan
feel,hissetmek
guys,Çocuklar
father,baba
guy,adam
made,yapılmış
old,eskimiş
isn,değil
which,Hangi
big,büyük
lot,pay
done,Tamamlandı
hello,Merhaba
nice,Güzel
believe,inanmak
girl,kız
someone,birisi
fine,iyi
thanks,teşekkürler
wanted,aranan
kind,tür
coming,gelen
house,ev
every,Her
ok,Tamam
through,başından sonuna kadar
being,yapı
course,kurs
stay,kalmak
left,sol
dad,baba
enough,yeterli
happened,olmuş
came,gelmek
may,mayıs
mother,anne
wrong,yanlış
world,dünya
bad,kötü
might,belki
three,üç
today,Bugün
listen,Dinlemek
another,bir diğer
understand,anlamak
hear,duymak
remember,Unutma
ask,sormak
own,sahip olmak
same,Aynı
show,göstermek
else,başka
kill,öldürmek
talking,konuşmak
found,kurmak
next,Sonraki
getting,edinme
care,bakım
car,araba
looking,bakıyor
son,oğul
try,denemek
woman,kadın
went,gitmiş
hi,MERHABA
